equipmentid,facilityid,areaid,equipmentname,equipmenttype,brand,model,serialnumber,purchasedate,purchaseprice,warrantyexpiry,status
EQ0188,FAC001,AR007,Yoga Mats #20,Studio Equipment,Life Fitness,YogaMats-497,2673AC0E-C17,2021-05-11,35,2024-05-10,Active
EQ0189,FAC001,AR007,Yoga Mats #21,Studio Equipment,Matrix,YogaMats-291,F048370A-B64,2022-10-09,37,2024-10-08,Active
EQ0190,FAC001,AR007,Yoga Mats #22,Studio Equipment,Technogym,YogaMats-560,FCD605D6-755,2022-12-04,25,2023-12-04,Active
EQ0191,FAC001,AR007,Yoga Mats #23,Studio Equipment,Schwinn,YogaMats-304,EFFAB940-237,2023-10-19,42,2024-10-18,Active
EQ0192,FAC001,AR007,Yoga Mats #24,Studio Equipment,NordicTrack,YogaMats-570,509F9539-6A1,2021-06-16,42,2024-06-15,Active
EQ0193,FAC001,AR007,Yoga Mats #25,Studio Equipment,NordicTrack,YogaMats-848,967DFD1D-57C,2022-03-22,28,2023-03-22,Active
EQ0194,FAC001,AR007,Yoga Mats #26,Studio Equipment,Schwinn,YogaMats-365,CEB6B489-B96,2021-01-20,26,2024-01-20,Active
EQ0195,FAC001,AR007,Yoga Mats #27,Studio Equipment,StairMaster,YogaMats-353,96D0D083-B3A,2022-06-09,46,2025-06-08,Active
EQ0196,FAC001,AR007,Stability Balls #1,Studio Equipment,Matrix,StabilityBalls-831,08E48DC4-F9B,2023-11-01,34,2026-10-31,Active
EQ0197,FAC001,AR007,Stability Balls #2,Studio Equipment,NordicTrack,StabilityBalls-170,65A0DB75-435,2024-03-22,25,2025-03-22,Active
EQ0198,FAC001,AR007,Stability Balls #3,Studio Equipment,Schwinn,StabilityBalls-976,50F0BEB8-5AF,2024-08-23,52,2025-08-23,Active
EQ0199,FAC001,AR007,Stability Balls #4,Studio Equipment,Cybex,StabilityBalls-924,DF1A495E-1DE,2023-01-19,21,2025-01-18,Active
EQ0200,FAC001,AR007,Stability Balls #5,Studio Equipment,TRX,StabilityBalls-789,6B203C5E-72F,2021-04-05,59,2024-04-04,Active
EQ0201,FAC001,AR007,Stability Balls #6,Studio Equipment,TRX,StabilityBalls-819,2709460E-BD7,2024-09-06,35,2025-09-06,Active
EQ0202,FAC001,AR007,Stability Balls #7,Studio Equipment,Bowflex,StabilityBalls-241,4DA89009-FAF,2024-09-02,20,2025-09-02,Active
EQ0203,FAC001,AR007,Stability Balls #8,Studio Equipment,Schwinn,StabilityBalls-498,B337495B-AD8,2024-09-10,28,2027-09-10,Maintenance
EQ0204,FAC001,AR007,Stability Balls #9,Studio Equipment,Cybex,StabilityBalls-240,4D4A8A87-C3E,2022-07-09,59,2024-07-08,Active
EQ0205,FAC001,AR007,Stability Balls #10,Studio Equipment,Technogym,StabilityBalls-623,97D74BC4-609,2024-12-21,41,2027-12-21,Active
EQ0206,FAC001,AR007,Stability Balls #11,Studio Equipment,StairMaster,StabilityBalls-787,DDB04A5E-2B6,2023-01-17,50,2024-01-17,Active
EQ0207,FAC001,AR007,Stability Balls #12,Studio Equipment,Matrix,StabilityBalls-833,0EA1C3F7-B67,2023-01-08,23,2024-01-08,Maintenance
EQ0208,FAC001,AR007,Stability Balls #13,Studio Equipment,Technogym,StabilityBalls-323,EC20E95B-6FE,2022-05-03,58,2025-05-02,Active
EQ0209,FAC001,AR007,Stability Balls #14,Studio Equipment,Matrix,StabilityBalls-942,420D3007-1EE,2022-03-23,49,2023-03-23,Active
EQ0210,FAC001,AR007,Stability Balls #15,Studio Equipment,Cybex,StabilityBalls-826,FCBF8B09-4E7,2022-08-16,35,2024-08-15,Active
EQ0211,FAC001,AR007,Stability Balls #16,Studio Equipment,Technogym,StabilityBalls-573,D5D8D928-955,2024-02-09,41,2027-02-08,Active
EQ0212,FAC001,AR007,Stability Balls #17,Studio Equipment,Bowflex,StabilityBalls-912,9207BFFD-B68,2021-07-03,29,2023-07-03,Active
EQ0213,FAC001,AR007,Stability Balls #18,Studio Equipment,Schwinn,StabilityBalls-714,6CE9402A-9D5,2021-11-17,52,2023-11-17,Active
EQ0214,FAC001,AR007,Stability Balls #19,Studio Equipment,Precor,StabilityBalls-641,1C1FB627-0ED,2023-02-27,59,2026-02-26,Active
EQ0215,FAC001,AR007,Stability Balls #20,Studio Equipment,TRX,StabilityBalls-289,EDC5E3DE-B71,2022-05-12,23,2025-05-11,Active
EQ0216,FAC001,AR011,Sound System #1,Studio Equipment,Technogym,SoundSystem-169,283390E3-688,2022-01-18,3250,2023-01-18,Active
EQ0217,FAC001,AR011,Mirrors #1,Studio Equipment,Matrix,Mirrors-961,86E291C3-2F2,2021-07-19,210,2024-07-18,Active
EQ0218,FAC001,AR011,Mirrors #2,Studio Equipment,NordicTrack,Mirrors-176,9FD42A6E-AD9,2020-11-14,242,2023-11-14,Active
EQ0219,FAC001,AR011,Mirrors #3,Studio Equipment,TRX,Mirrors-143,448AE0B2-6E3,2025-08-23,497,2027-08-23,Active
EQ0220,FAC001,AR011,Mirrors #4,Studio Equipment,Schwinn,Mirrors-268,50E11F8A-288,2023-05-11,262,2026-05-10,Active
EQ0221,FAC001,AR011,Mirrors #5,Studio Equipment,Life Fitness,Mirrors-630,EB857005-28A,2021-09-17,276,2024-09-16,Active
EQ0222,FAC001,AR011,Mirrors #6,Studio Equipment,TRX,Mirrors-547,5B82E1F3-B17,2021-07-10,378,2022-07-10,Maintenance
EQ0223,FAC001,AR011,Yoga Mats #1,Studio Equipment,Technogym,YogaMats-856,739D73B8-A87,2023-10-28,19,2025-10-27,Active
EQ0224,FAC001,AR011,Yoga Mats #2,Studio Equipment,NordicTrack,YogaMats-339,3BB99863-82C,2021-09-04,39,2022-09-04,Active
EQ0225,FAC001,AR011,Yoga Mats #3,Studio Equipment,TRX,YogaMats-199,BBFF0DBF-A38,2025-01-15,32,2028-01-15,Active
EQ0226,FAC001,AR011,Yoga Mats #4,Studio Equipment,Schwinn,YogaMats-935,F7140F83-1A6,2021-01-08,43,2023-01-08,Active
EQ0227,FAC001,AR011,Yoga Mats #5,Studio Equipment,NordicTrack,YogaMats-729,3EB292F9-473,2024-08-20,19,2026-08-20,Active
EQ0228,FAC001,AR011,Yoga Mats #6,Studio Equipment,Precor,YogaMats-696,5FEB8E45-A15,2025-07-25,34,2027-07-25,Maintenance
EQ0229,FAC001,AR011,Yoga Mats #7,Studio Equipment,Precor,YogaMats-386,AB43EA5D-83F,2021-03-14,27,2023-03-14,Active
EQ0230,FAC001,AR011,Yoga Mats #8,Studio Equipment,Matrix,YogaMats-955,4DE8A593-17D,2024-12-23,48,2027-12-23,Active
EQ0231,FAC001,AR011,Yoga Mats #9,Studio Equipment,Precor,YogaMats-480,F08A7AA1-DFE,2022-07-27,18,2025-07-26,Active
EQ0232,FAC001,AR011,Yoga Mats #10,Studio Equipment,Schwinn,YogaMats-218,C0D734ED-0DF,2025-04-15,28,2026-04-15,Active
EQ0233,FAC001,AR011,Yoga Mats #11,Studio Equipment,NordicTrack,YogaMats-195,183DE53E-409,2024-12-18,15,2027-12-18,Active
EQ0234,FAC001,AR011,Yoga Mats #12,Studio Equipment,Bowflex,YogaMats-880,74935AC4-732,2022-05-01,24,2025-04-30,Maintenance
EQ0235,FAC001,AR011,Yoga Mats #13,Studio Equipment,Technogym,YogaMats-536,863EE375-AF8,2021-12-15,40,2022-12-15,Active
EQ0236,FAC001,AR011,Yoga Mats #14,Studio Equipment,StairMaster,YogaMats-628,D806910B-182,2023-08-15,31,2024-08-14,Maintenance
EQ0237,FAC001,AR011,Yoga Mats #15,Studio Equipment,Matrix,YogaMats-461,DBF9FC8B-989,2021-12-26,23,2024-12-25,Out of Service
EQ0238,FAC001,AR011,Yoga Mats #16,Studio Equipment,Matrix,YogaMats-710,02DD0557-9D6,2022-01-20,40,2025-01-19,Maintenance
EQ0239,FAC001,AR011,Yoga Mats #17,Studio Equipment,Technogym,YogaMats-470,8D309129-2E5,2021-11-26,30,2024-11-25,Out of Service
EQ0240,FAC001,AR011,Yoga Mats #18,Studio Equipment,Precor,YogaMats-796,55BDCFA9-7E7,2024-01-31,28,2026-01-30,Active
EQ0241,FAC001,AR011,Yoga Mats #19,Studio Equipment,Cybex,YogaMats-516,F24D5D7C-AEA,2024-02-20,23,2025-02-19,Active
EQ0242,FAC001,AR011,Yoga Mats #20,Studio Equipment,NordicTrack,YogaMats-106,E0842010-E7A,2023-09-17,26,2025-09-16,Maintenance
EQ0243,FAC001,AR011,Yoga Mats #21,Studio Equipment,Precor,YogaMats-901,8660222A-37C,2024-09-06,26,2025-09-06,Active
EQ0244,FAC001,AR011,Yoga Mats #22,Studio Equipment,Precor,YogaMats-142,7E75F1C9-AA9,2023-05-31,22,2025-05-30,Active
EQ0245,FAC001,AR011,Yoga Mats #23,Studio Equipment,Cybex,YogaMats-352,87FE3E0F-B66,2021-11-17,39,2023-11-17,Active
EQ0246,FAC001,AR011,Yoga Mats #24,Studio Equipment,Cybex,YogaMats-375,6B7EF8F3-9BF,2025-05-01,23,2027-05-01,Active
EQ0247,FAC001,AR011,Yoga Mats #25,Studio Equipment,Matrix,YogaMats-498,837A878E-F32,2023-12-31,29,2026-12-30,Active
EQ0248,FAC001,AR011,Yoga Mats #26,Studio Equipment,NordicTrack,YogaMats-331,F8907282-7D9,2022-07-16,18,2023-07-16,Active
EQ0249,FAC001,AR011,Yoga Mats #27,Studio Equipment,NordicTrack,YogaMats-437,1553768D-508,2022-05-06,38,2025-05-05,Active
EQ0250,FAC001,AR011,Yoga Mats #28,Studio Equipment,Cybex,YogaMats-369,1DDB51C8-834,2024-02-06,46,2025-02-05,Active
EQ0251,FAC001,AR011,Yoga Mats #29,Studio Equipment,Cybex,YogaMats-503,5936AC58-A8F,2022-11-28,21,2025-11-27,Maintenance
EQ0252,FAC001,AR011,Yoga Mats #30,Studio Equipment,Bowflex,YogaMats-667,47164023-00A,2023-12-07,29,2026-12-06,Active
EQ0253,FAC001,AR011,Stability Balls #1,Studio Equipment,Schwinn,StabilityBalls-392,4D357E97-13C,2022-06-25,59,2023-06-25,Maintenance
EQ0254,FAC001,AR011,Stability Balls #2,Studio Equipment,Precor,StabilityBalls-947,A443FB7A-861,2022-09-07,24,2025-09-06,Active
EQ0255,FAC001,AR011,Stability Balls #3,Studio Equipment,TRX,StabilityBalls-271,D1185A9E-B87,2021-09-05,39,2024-09-04,Active
EQ0256,FAC001,AR011,Stability Balls #4,Studio Equipment,Schwinn,StabilityBalls-195,6575A209-8ED,2024-06-10,22,2025-06-10,Active
EQ0257,FAC001,AR011,Stability Balls #5,Studio Equipment,Precor,StabilityBalls-492,5191AADC-476,2023-06-23,54,2026-06-22,Active
EQ0258,FAC001,AR011,Stability Balls #6,Studio Equipment,Schwinn,StabilityBalls-859,5A2146B2-A82,2024-11-26,49,2026-11-26,Active
EQ0259,FAC001,AR011,Stability Balls #7,Studio Equipment,Life Fitness,StabilityBalls-190,1F95F2EC-B73,2025-01-18,30,2028-01-18,Active
EQ0260,FAC001,AR011,Stability Balls #8,Studio Equipment,Precor,StabilityBalls-222,BCC2FD6F-030,2021-05-28,56,2023-05-28,Active
EQ0261,FAC001,AR011,Stability Balls #9,Studio Equipment,Precor,StabilityBalls-855,BF331E35-17A,2023-12-04,50,2025-12-03,Active
EQ0262,FAC001,AR011,Stability Balls #10,Studio Equipment,Matrix,StabilityBalls-510,F3BD3E80-2A3,2021-02-26,29,2022-02-26,Active
EQ0263,FAC001,AR011,Stability Balls #11,Studio Equipment,Precor,StabilityBalls-673,BF493554-DBE,2021-06-13,50,2022-06-13,Active
EQ0264,FAC001,AR011,Stability Balls #12,Studio Equipment,Schwinn,StabilityBalls-411,B185819A-F9C,2025-06-06,46,2027-06-06,Active
EQ0265,FAC001,AR011,Stability Balls #13,Studio Equipment,Matrix,StabilityBalls-157,6419B7A0-B6A,2024-05-31,44,2026-05-31,Active
EQ0266,FAC001,AR011,Stability Balls #14,Studio Equipment,Schwinn,StabilityBalls-158,217E80FE-A0D,2023-03-19,56,2024-03-18,Active
EQ0267,FAC001,AR011,Stability Balls #15,Studio Equipment,Technogym,StabilityBalls-905,96D1ECD3-D13,2022-07-10,42,2023-07-10,Active
EQ0268,FAC001,AR011,Stability Balls #16,Studio Equipment,Bowflex,StabilityBalls-321,DA3C11F4-7D4,2024-08-18,46,2026-08-18,Active
EQ0269,FAC001,AR011,Stability Balls #17,Studio Equipment,StairMaster,StabilityBalls-470,DE17B30F-330,2023-12-27,33,2024-12-26,Active
EQ0270,FAC001,AR011,Stability Balls #18,Studio Equipment,StairMaster,StabilityBalls-205,36638DE4-D4B,2024-06-07,60,2025-06-07,Active
EQ0271,FAC001,AR011,Stability Balls #19,Studio Equipment,Technogym,StabilityBalls-280,B27E504A-55C,2023-01-07,37,2024-01-07,Active
EQ0272,FAC001,AR011,Stability Balls #20,Studio Equipment,StairMaster,StabilityBalls-226,8EB5DBF5-762,2024-07-14,20,2026-07-14,Active
EQ0273,FAC001,AR011,Stability Balls #21,Studio Equipment,Matrix,StabilityBalls-659,7244D895-824,2023-08-29,35,2025-08-28,Active
EQ0274,FAC001,AR011,Stability Balls #22,Studio Equipment,Bowflex,StabilityBalls-317,FF2356A3-1E1,2024-05-25,21,2027-05-25,Active
EQ0275,FAC001,AR011,Stability Balls #23,Studio Equipment,Cybex,StabilityBalls-499,9D62C2A8-9AD,2024-04-19,34,2027-04-19,Active
EQ0276,FAC001,AR011,Stability Balls #24,Studio Equipment,NordicTrack,StabilityBalls-672,F6D6FE05-B30,2024-08-18,59,2027-08-18,Active
EQ0277,FAC001,AR011,Stability Balls #25,Studio Equipment,Life Fitness,StabilityBalls-569,ABBF0E9E-1A7,2022-01-18,31,2025-01-17,Active
EQ0278,FAC002,AR013,Dumbbells #1,Free Weights,TRX,Dumbbells-694,B8BF90BB-7AC,2022-01-17,159,2023-01-17,Active
EQ0279,FAC002,AR013,Dumbbells #2,Free Weights,TRX,Dumbbells-974,4B05A37A-520,2021-11-10,82,2022-11-10,Active
EQ0280,FAC002,AR013,Dumbbells #3,Free Weights,Life Fitness,Dumbbells-793,A38CCF97-914,2021-05-09,127,2024-05-08,Active
EQ0281,FAC002,AR013,Dumbbells #4,Free Weights,NordicTrack,Dumbbells-493,9C77C40E-66A,2023-08-03,124,2025-08-02,Active
EQ0282,FAC002,AR013,Dumbbells #5,Free Weights,Bowflex,Dumbbells-800,709A83CF-B11,2021-03-27,109,2024-03-26,Active
EQ0283,FAC002,AR013,Dumbbells #6,Free Weights,Technogym,Dumbbells-811,FD339183-F67,2025-01-10,128,2028-01-10,Active
EQ0284,FAC002,AR013,Dumbbells #7,Free Weights,Bowflex,Dumbbells-131,101CBE27-4C8,2022-04-23,151,2024-04-22,Active
EQ0285,FAC002,AR013,Dumbbells #8,Free Weights,NordicTrack,Dumbbells-379,C5563FBF-5F4,2022-09-28,103,2025-09-27,Active
EQ0286,FAC002,AR013,Dumbbells #9,Free Weights,StairMaster,Dumbbells-751,3B332D64-7B0,2022-07-15,128,2024-07-14,Active
EQ0287,FAC002,AR013,Dumbbells #10,Free Weights,StairMaster,Dumbbells-150,3C145E9D-F37,2025-09-01,188,2026-09-01,Active
EQ0288,FAC002,AR013,Dumbbells #11,Free Weights,Matrix,Dumbbells-816,FA53C2E6-3AF,2021-09-30,59,2024-09-29,Active
EQ0289,FAC002,AR013,Dumbbells #12,Free Weights,Matrix,Dumbbells-592,51988D95-1DC,2023-04-20,82,2026-04-19,Active
EQ0290,FAC002,AR013,Dumbbells #13,Free Weights,Cybex,Dumbbells-337,97E6EAD8-B3D,2025-09-04,99,2028-09-03,Active
EQ0291,FAC002,AR013,Dumbbells #14,Free Weights,Life Fitness,Dumbbells-150,9305281E-876,2022-03-22,106,2023-03-22,Active
EQ0292,FAC002,AR013,Dumbbells #15,Free Weights,Cybex,Dumbbells-769,26AEDA84-8A0,2022-09-21,149,2025-09-20,Active
EQ0293,FAC002,AR013,Dumbbells #16,Free Weights,StairMaster,Dumbbells-170,77293E08-E96,2023-06-14,199,2026-06-13,Maintenance
EQ0294,FAC002,AR013,Dumbbells #17,Free Weights,TRX,Dumbbells-374,259FCAC9-19B,2021-06-17,153,2022-06-17,Active
EQ0295,FAC002,AR013,Dumbbells #18,Free Weights,NordicTrack,Dumbbells-243,C0B791CE-258,2024-01-07,93,2026-01-06,Active
EQ0296,FAC002,AR013,Dumbbells #19,Free Weights,Matrix,Dumbbells-701,459E4ECE-417,2024-01-06,198,2025-01-05,Active
EQ0297,FAC002,AR013,Dumbbells #20,Free Weights,Life Fitness,Dumbbells-699,486B4385-328,2022-04-24,92,2025-04-23,Active
EQ0298,FAC002,AR013,Dumbbells #21,Free Weights,Life Fitness,Dumbbells-644,CB0BD61F-50E,2024-12-29,53,2027-12-29,Active
EQ0299,FAC002,AR013,Kettlebells #1,Free Weights,Bowflex,Kettlebells-619,27869B23-274,2025-04-01,144,2028-03-31,Active
EQ0300,FAC002,AR013,Kettlebells #2,Free Weights,NordicTrack,Kettlebells-140,C5A5CB4A-4EE,2023-05-03,117,2025-05-02,Active
EQ0301,FAC002,AR013,Kettlebells #3,Free Weights,Schwinn,Kettlebells-302,00C0DFDC-5B3,2023-04-14,39,2025-04-13,Active
EQ0302,FAC002,AR013,Kettlebells #4,Free Weights,Cybex,Kettlebells-899,A6BC66C8-5F7,2021-06-04,127,2022-06-04,Active
EQ0303,FAC002,AR013,Kettlebells #5,Free Weights,Technogym,Kettlebells-163,89651FD1-312,2025-06-28,69,2027-06-28,Active
EQ0304,FAC002,AR013,Kettlebells #6,Free Weights,NordicTrack,Kettlebells-684,B9ED2533-0D5,2023-12-10,133,2026-12-09,Active
EQ0305,FAC002,AR013,Kettlebells #7,Free Weights,Technogym,Kettlebells-496,02A11843-C2D,2025-06-26,108,2027-06-26,Active
EQ0306,FAC002,AR013,Kettlebells #8,Free Weights,Cybex,Kettlebells-404,90D91BC0-993,2024-05-19,117,2025-05-19,Out of Service
EQ0307,FAC002,AR013,Kettlebells #9,Free Weights,Bowflex,Kettlebells-441,FEB82510-E74,2023-12-31,118,2026-12-30,Active
EQ0308,FAC002,AR013,Kettlebells #10,Free Weights,StairMaster,Kettlebells-130,15A2C7FB-D32,2021-01-06,72,2022-01-06,Active
EQ0309,FAC002,AR013,Kettlebells #11,Free Weights,Schwinn,Kettlebells-690,39E38429-90E,2023-02-22,77,2024-02-22,Active
EQ0310,FAC002,AR013,Kettlebells #12,Free Weights,Cybex,Kettlebells-626,5A7A7205-0A6,2020-12-30,141,2021-12-30,Active
EQ0311,FAC002,AR013,Kettlebells #13,Free Weights,Life Fitness,Kettlebells-192,1AC00E34-744,2024-09-26,119,2026-09-26,Active
EQ0312,FAC002,AR013,Kettlebells #14,Free Weights,Technogym,Kettlebells-382,B8C51E23-DA7,2023-12-02,82,2025-12-01,Active
EQ0313,FAC002,AR013,Kettlebells #15,Free Weights,Matrix,Kettlebells-114,E7D529E9-A05,2021-09-03,46,2022-09-03,Maintenance
EQ0314,FAC002,AR013,Kettlebells #16,Free Weights,StairMaster,Kettlebells-974,7C076E07-72D,2024-03-03,49,2025-03-03,Active
EQ0315,FAC002,AR013,Kettlebells #17,Free Weights,Matrix,Kettlebells-890,22191142-E2D,2023-03-03,87,2025-03-02,Maintenance
EQ0316,FAC002,AR013,Kettlebells #18,Free Weights,Matrix,Kettlebells-222,EE9C1009-FA5,2023-10-21,108,2026-10-20,Active
EQ0317,FAC002,AR013,Kettlebells #19,Free Weights,StairMaster,Kettlebells-616,6A79EB92-2D2,2025-03-31,43,2026-03-31,Active
EQ0318,FAC002,AR013,Kettlebells #20,Free Weights,StairMaster,Kettlebells-233,8C2A41F4-C94,2024-08-18,147,2026-08-18,Active
EQ0319,FAC002,AR013,Kettlebells #21,Free Weights,TRX,Kettlebells-704,F07CF7B6-B6E,2021-07-23,138,2022-07-23,Active
EQ0320,FAC002,AR013,Kettlebells #22,Free Weights,Matrix,Kettlebells-153,B2931032-2A2,2021-06-07,76,2024-06-06,Active
EQ0321,FAC002,AR013,Kettlebells #23,Free Weights,Matrix,Kettlebells-611,9710BF47-67E,2023-07-15,133,2024-07-14,Active
EQ0322,FAC002,AR013,Kettlebells #24,Free Weights,Schwinn,Kettlebells-311,8F15A1C3-6DF,2024-06-15,39,2027-06-15,Active
EQ0323,FAC002,AR013,Kettlebells #25,Free Weights,Precor,Kettlebells-756,69AD3602-A65,2023-03-25,116,2026-03-24,Active
EQ0324,FAC002,AR013,Medicine Balls #1,Free Weights,Matrix,MedicineBalls-120,93C247CA-2D4,2023-05-16,53,2024-05-15,Out of Service
EQ0325,FAC002,AR013,Medicine Balls #2,Free Weights,NordicTrack,MedicineBalls-303,CCB1DC90-33B,2023-03-16,60,2024-03-15,Maintenance
EQ0326,FAC002,AR013,Medicine Balls #3,Free Weights,Technogym,MedicineBalls-379,14002846-ABA,2022-06-17,68,2025-06-16,Active
EQ0327,FAC002,AR013,Medicine Balls #4,Free Weights,StairMaster,MedicineBalls-912,DDCA4A63-102,2021-03-10,84,2023-03-10,Active
EQ0328,FAC002,AR013,Medicine Balls #5,Free Weights,Matrix,MedicineBalls-422,5DA6C01F-986,2025-07-08,83,2026-07-08,Active
EQ0329,FAC002,AR013,Medicine Balls #6,Free Weights,Life Fitness,MedicineBalls-893,22387397-FF4,2024-08-26,45,2026-08-26,Active
EQ0330,FAC002,AR013,Medicine Balls #7,Free Weights,NordicTrack,MedicineBalls-428,1CDC9305-2F6,2025-09-10,95,2028-09-09,Active
EQ0331,FAC002,AR013,Medicine Balls #8,Free Weights,Life Fitness,MedicineBalls-873,3D65BF68-457,2021-08-31,43,2022-08-31,Active
EQ0332,FAC002,AR013,Medicine Balls #9,Free Weights,Technogym,MedicineBalls-650,5C670DCE-660,2024-10-30,35,2026-10-30,Active
EQ0333,FAC002,AR013,Medicine Balls #10,Free Weights,NordicTrack,MedicineBalls-667,8B9AEFFE-415,2023-12-11,58,2024-12-10,Active
EQ0334,FAC002,AR013,Medicine Balls #11,Free Weights,Cybex,MedicineBalls-765,E092BBDD-5FD,2021-05-06,85,2022-05-06,Maintenance
EQ0335,FAC002,AR013,Medicine Balls #12,Free Weights,NordicTrack,MedicineBalls-529,C8C9EE8A-A0B,2024-07-07,48,2025-07-07,Active
EQ0336,FAC002,AR013,Medicine Balls #13,Free Weights,Bowflex,MedicineBalls-206,AFDD5AA9-5AD,2023-08-08,99,2026-08-07,Active
EQ0337,FAC002,AR013,Medicine Balls #14,Free Weights,Precor,MedicineBalls-708,79846759-857,2022-03-06,85,2024-03-05,Active
EQ0338,FAC002,AR013,Medicine Balls #15,Free Weights,TRX,MedicineBalls-889,26BD8C91-84F,2024-12-12,92,2026-12-12,Out of Service
EQ0339,FAC002,AR013,Medicine Balls #16,Free Weights,TRX,MedicineBalls-815,6C66A0EB-07B,2023-12-30,67,2024-12-29,Active
EQ0340,FAC002,AR013,Resistance Bands #1,Free Weights,NordicTrack,ResistanceBands-567,5B6D3A45-798,2022-03-17,27,2024-03-16,Active
EQ0341,FAC002,AR013,Resistance Bands #2,Free Weights,Cybex,ResistanceBands-530,8C9E6613-8DB,2024-08-22,21,2026-08-22,Active
EQ0342,FAC002,AR013,Resistance Bands #3,Free Weights,Schwinn,ResistanceBands-439,57702AED-6CA,2020-12-19,34,2021-12-19,Active
EQ0343,FAC002,AR013,Resistance Bands #4,Free Weights,Technogym,ResistanceBands-769,F8B2C9E8-3D9,2023-05-05,47,2025-05-04,Active
EQ0344,FAC002,AR013,Resistance Bands #5,Free Weights,Schwinn,ResistanceBands-615,8B10674B-47B,2025-05-29,44,2027-05-29,Active
EQ0345,FAC002,AR013,Resistance Bands #6,Free Weights,Matrix,ResistanceBands-404,4799B5C1-0AF,2023-06-24,21,2024-06-23,Active
EQ0346,FAC002,AR013,Resistance Bands #7,Free Weights,TRX,ResistanceBands-286,E9779EF9-9F1,2023-06-10,18,2025-06-09,Maintenance
EQ0347,FAC002,AR013,Resistance Bands #8,Free Weights,Cybex,ResistanceBands-286,B857DE44-9F5,2024-07-21,27,2026-07-21,Active
EQ0348,FAC002,AR013,Resistance Bands #9,Free Weights,Matrix,ResistanceBands-646,7F205CBF-E7F,2022-10-09,49,2023-10-09,Out of Service
EQ0349,FAC002,AR013,Resistance Bands #10,Free Weights,Precor,ResistanceBands-351,2DEDD7B6-2CF,2021-03-30,24,2023-03-30,Active
EQ0350,FAC002,AR013,Resistance Bands #11,Free Weights,Technogym,ResistanceBands-360,A4E19EA9-D56,2021-06-01,39,2024-05-31,Active
EQ0351,FAC002,AR013,Resistance Bands #12,Free Weights,Life Fitness,ResistanceBands-250,A6E6ED8B-D30,2025-06-10,19,2027-06-10,Active
EQ0352,FAC002,AR013,Resistance Bands #13,Free Weights,TRX,ResistanceBands-645,DA242D86-4B7,2021-06-11,27,2023-06-11,Active
EQ0353,FAC002,AR013,Resistance Bands #14,Free Weights,StairMaster,ResistanceBands-103,0E84735F-AC9,2023-10-12,45,2024-10-11,Active
EQ0354,FAC002,AR013,Resistance Bands #15,Free Weights,NordicTrack,ResistanceBands-652,69080EC1-3F7,2020-11-23,27,2021-11-23,Active
EQ0355,FAC002,AR013,Resistance Bands #16,Free Weights,Schwinn,ResistanceBands-379,28F3070A-E49,2023-11-08,19,2024-11-07,Active
EQ0356,FAC002,AR013,Resistance Bands #17,Free Weights,Cybex,ResistanceBands-554,62474F94-733,2023-08-08,12,2024-08-07,Active
EQ0357,FAC002,AR013,Resistance Bands #18,Free Weights,NordicTrack,ResistanceBands-736,8D5D26CB-5BD,2024-05-04,32,2026-05-04,Maintenance
EQ0358,FAC002,AR013,Resistance Bands #19,Free Weights,Life Fitness,ResistanceBands-433,AE553D46-D6D,2021-10-31,19,2023-10-31,Maintenance
EQ0359,FAC002,AR013,Resistance Bands #20,Free Weights,Precor,ResistanceBands-431,B0E1DA80-770,2022-08-17,28,2025-08-16,Active
EQ0360,FAC002,AR013,Resistance Bands #21,Free Weights,NordicTrack,ResistanceBands-132,A1507117-2BA,2023-02-23,11,2026-02-22,Active
EQ0361,FAC002,AR013,Resistance Bands #22,Free Weights,Precor,ResistanceBands-939,AF3C4792-951,2025-05-29,23,2026-05-29,Maintenance
EQ0362,FAC002,AR013,Resistance Bands #23,Free Weights,Technogym,ResistanceBands-864,A8145B4D-C27,2022-08-11,36,2024-08-10,Active
EQ0363,FAC002,AR013,Resistance Bands #24,Free Weights,Matrix,ResistanceBands-625,04DBF68B-B6D,2025-05-02,37,2028-05-01,Maintenance
EQ0364,FAC002,AR013,Resistance Bands #25,Free Weights,Life Fitness,ResistanceBands-687,BDF24F62-203,2025-05-23,12,2028-05-22,Out of Service
EQ0365,FAC002,AR013,Resistance Bands #26,Free Weights,Technogym,ResistanceBands-736,92C8BA69-D35,2025-09-12,38,2026-09-12,Active
EQ0366,FAC002,AR013,Resistance Bands #27,Free Weights,Bowflex,ResistanceBands-701,7DC66B7E-C00,2022-11-18,42,2025-11-17,Active
EQ0367,FAC002,AR013,Resistance Bands #28,Free Weights,Technogym,ResistanceBands-543,C06FC905-B48,2021-04-14,16,2024-04-13,Active
EQ0368,FAC002,AR013,Resistance Bands #29,Free Weights,Life Fitness,ResistanceBands-540,A13D648B-E01,2025-03-14,27,2027-03-14,Active
EQ0369,FAC002,AR013,Resistance Bands #30,Free Weights,Cybex,ResistanceBands-642,EBD68741-C13,2021-03-23,19,2023-03-23,Active
EQ0370,FAC002,AR013,Resistance Bands #31,Free Weights,Matrix,ResistanceBands-916,076D1E96-8AD,2024-04-21,41,2025-04-21,Active
EQ0371,FAC002,AR013,Resistance Bands #32,Free Weights,Cybex,ResistanceBands-329,B100FB4B-7F7,2022-03-27,48,2024-03-26,Active
