paymentid,memberid,membershipid,amount,paymentdate,paymentmethod,transactionid,paymenttype,status,processeddate
PAY00000703,MEM000476,MS0000617,58.33,2023-10-29,Cash,TXN399132192,Monthly Membership,Completed,2023-10-29
PAY00000704,MEM000476,MS0000617,58.33,2024-04-26,Debit Card,TXN933491472,Monthly Membership,Completed,2024-04-26
PAY00000705,MEM000477,MS0000618,54.99,2024-09-10,Credit Card,TXN521667607,Monthly Membership,Completed,2024-09-10
PAY00000706,MEM000478,MS0000619,89.98,2022-10-17,Debit Card,TXN964044990,Membership + Registration,Completed,2022-10-17
PAY00000707,MEM000479,MS0000620,119.98,2024-06-04,Bank Transfer,TXN100841810,Membership + Registration,Completed,2024-06-04
PAY00000708,MEM000480,MS0000621,54.99,2020-10-12,Credit Card,TXN151140267,Membership + Registration,Completed,2020-10-12
PAY00000709,MEM000481,MS0000622,59.99,2023-05-22,Debit Card,TXN289481060,Membership + Registration,Completed,2023-05-22
PAY00000710,MEM000482,MS0000623,89.98,2024-10-06,Debit Card,TXN562175343,Membership + Registration,Completed,2024-10-06
PAY00000711,MEM000483,MS0000624,119.98,2023-12-16,Credit Card,TXN657279142,Membership + Registration,Pending,2023-12-22
PAY00000712,MEM000484,MS0000625,54.99,2024-09-20,Credit Card,TXN491478649,Monthly Membership,Completed,2024-09-20
PAY00000713,MEM000485,MS0000626,89.98,2024-01-03,Cash,TXN432340095,Membership + Registration,Completed,2024-01-03
PAY00000714,MEM000485,MS0000627,119.98,2024-02-19,Credit Card,TXN839472822,Membership + Registration,Completed,2024-02-19
PAY00000715,MEM000486,MS0000628,89.98,2024-11-03,Credit Card,TXN468883533,Membership + Registration,Completed,2024-11-03
PAY00000716,MEM000486,MS0000629,58.33,2024-12-16,Check,TXN445135170,Monthly Membership,Completed,2024-12-16
PAY00000717,MEM000486,MS0000629,58.33,2025-04-15,Credit Card,TXN337777601,Monthly Membership,Completed,2025-04-15
PAY00000718,MEM000486,MS0000629,58.33,2025-08-13,Credit Card,TXN652304154,Monthly Membership,Completed,2025-08-13
PAY00000719,MEM000487,MS0000630,119.98,2025-03-17,Credit Card,TXN398653345,Membership + Registration,Completed,2025-03-17
PAY00000720,MEM000488,MS0000631,59.99,2022-06-29,Credit Card,TXN496917903,Membership + Registration,Completed,2022-06-29
PAY00000721,MEM000489,MS0000632,119.98,2025-03-11,Credit Card,TXN204981324,Membership + Registration,Completed,2025-03-11
PAY00000722,MEM000490,MS0000633,58.33,2021-07-08,Debit Card,TXN315889336,Monthly Membership,Completed,2021-07-08
PAY00000723,MEM000490,MS0000633,58.33,2022-01-04,Credit Card,TXN491616460,Monthly Membership,Completed,2022-01-04
PAY00000724,MEM000491,MS0000634,119.98,2021-08-14,Credit Card,TXN636660718,Membership + Registration,Completed,2021-08-14
PAY00000725,MEM000492,MS0000635,119.98,2021-02-10,Credit Card,TXN370462492,Membership + Registration,Completed,2021-02-10
PAY00000726,MEM000493,MS0000636,89.98,2025-01-06,Bank Transfer,TXN324609920,Membership + Registration,Completed,2025-01-06
PAY00000727,MEM000494,MS0000637,54.99,2021-09-12,Credit Card,TXN473457227,Membership + Registration,Completed,2021-09-12
PAY00000728,MEM000494,MS0000638,89.98,2021-12-21,Credit Card,TXN909906012,Membership + Registration,Completed,2021-12-21
PAY00000729,MEM000495,MS0000639,58.33,2023-04-30,Credit Card,TXN950931143,Monthly Membership,Completed,2023-04-30
PAY00000730,MEM000495,MS0000639,58.33,2023-08-28,Credit Card,TXN263694948,Monthly Membership,Completed,2023-08-28
PAY00000731,MEM000495,MS0000639,58.33,2023-12-26,Debit Card,TXN982423663,Monthly Membership,Completed,2023-12-26
PAY00000732,MEM000496,MS0000640,119.98,2021-12-16,Credit Card,TXN993356879,Membership + Registration,Completed,2021-12-16
PAY00000733,MEM000496,MS0000641,25.0,2022-03-30,Credit Card,TXN733195445,Monthly Membership,Completed,2022-03-30
PAY00000734,MEM000497,MS0000642,99.99,2024-12-26,Credit Card,TXN373060262,Monthly Membership,Failed,2024-12-29
PAY00000735,MEM000497,MS0000642,99.99,2025-04-25,Debit Card,TXN859629162,Monthly Membership,Completed,2025-04-25
PAY00000736,MEM000497,MS0000642,99.99,2025-08-23,Bank Transfer,TXN841974575,Monthly Membership,Completed,2025-08-23
PAY00000737,MEM000498,MS0000643,89.98,2020-12-06,Bank Transfer,TXN927364381,Membership + Registration,Completed,2020-12-06
PAY00000738,MEM000499,MS0000644,119.98,2020-10-17,Credit Card,TXN277549317,Membership + Registration,Completed,2020-10-17
PAY00000739,MEM000500,MS0000645,229.98,2025-01-14,Credit Card,TXN270854962,Membership + Registration,Completed,2025-01-14
PAY00000740,MEM000501,MS0000646,99.99,2021-07-17,Credit Card,TXN156813876,Monthly Membership,Completed,2021-07-17
PAY00000741,MEM000501,MS0000646,99.99,2021-11-14,Credit Card,TXN670995108,Monthly Membership,Completed,2021-11-14
PAY00000742,MEM000501,MS0000646,99.99,2022-03-14,Credit Card,TXN281041932,Monthly Membership,Completed,2022-03-14
PAY00000743,MEM000502,MS0000647,54.99,2021-10-22,Credit Card,TXN388388411,Monthly Membership,Completed,2021-10-22
PAY00000744,MEM000502,MS0000648,89.98,2022-01-01,Cash,TXN282028407,Membership + Registration,Completed,2022-01-01
PAY00000745,MEM000503,MS0000649,59.99,2022-01-03,Credit Card,TXN222753364,Membership + Registration,Completed,2022-01-03
PAY00000746,MEM000504,MS0000650,229.98,2023-11-22,Cash,TXN276131057,Membership + Registration,Completed,2023-11-22
PAY00000747,MEM000505,MS0000651,89.98,2021-12-18,Debit Card,TXN717734893,Membership + Registration,Completed,2021-12-18
PAY00000748,MEM000506,MS0000652,119.98,2024-01-06,Bank Transfer,TXN835691360,Membership + Registration,Completed,2024-01-06
PAY00000749,MEM000506,MS0000653,99.99,2024-02-06,Credit Card,TXN738099661,Monthly Membership,Completed,2024-02-06
PAY00000750,MEM000506,MS0000653,99.99,2024-06-05,Credit Card,TXN841516136,Monthly Membership,Completed,2024-06-05
PAY00000751,MEM000506,MS0000653,99.99,2024-10-03,Credit Card,TXN214735692,Monthly Membership,Completed,2024-10-03
PAY00000752,MEM000506,MS0000654,58.33,2025-02-21,Credit Card,TXN672567213,Monthly Membership,Completed,2025-02-21
PAY00000753,MEM000506,MS0000654,58.33,2025-06-21,Credit Card,TXN908456822,Monthly Membership,Completed,2025-06-21
PAY00000754,MEM000506,MS0000654,58.33,2025-10-19,Debit Card,TXN796002590,Monthly Membership,Completed,2025-10-19
PAY00000755,MEM000507,MS0000655,54.99,2023-03-27,Cash,TXN998421538,Monthly Membership,Completed,2023-03-27
PAY00000756,MEM000507,MS0000656,119.98,2023-05-30,Debit Card,TXN478851187,Membership + Registration,Completed,2023-05-30
PAY00000757,MEM000508,MS0000657,59.99,2024-03-04,Credit Card,TXN155136519,Membership + Registration,Completed,2024-03-04
PAY00000758,MEM000509,MS0000658,59.99,2024-03-02,Credit Card,TXN815887580,Membership + Registration,Completed,2024-03-02
PAY00000759,MEM000510,MS0000659,58.33,2021-03-11,Debit Card,TXN811944050,Monthly Membership,Completed,2021-03-11
PAY00000760,MEM000511,MS0000660,229.98,2020-11-08,Credit Card,TXN154527106,Membership + Registration,Completed,2020-11-08
PAY00000761,MEM000511,MS0000661,58.33,2021-02-26,Debit Card,TXN869045113,Monthly Membership,Completed,2021-02-26
PAY00000762,MEM000512,MS0000662,54.99,2022-01-01,Credit Card,TXN868548854,Monthly Membership,Completed,2022-01-01
PAY00000763,MEM000513,MS0000663,58.33,2025-03-19,Credit Card,TXN357013916,Monthly Membership,Completed,2025-03-19
PAY00000764,MEM000513,MS0000663,58.33,2025-09-15,Credit Card,TXN941170384,Monthly Membership,Completed,2025-09-15
PAY00000765,MEM000513,MS0000664,89.98,2026-04-10,Credit Card,TXN560082079,Membership + Registration,Completed,2026-04-10
PAY00000766,MEM000514,MS0000665,89.98,2021-03-09,Credit Card,TXN972169339,Membership + Registration,Completed,2021-03-09
PAY00000767,MEM000514,MS0000666,229.98,2021-04-19,Credit Card,TXN411935307,Membership + Registration,Completed,2021-04-19
PAY00000768,MEM000515,MS0000667,89.98,2024-09-13,Debit Card,TXN378136561,Membership + Registration,Completed,2024-09-13
PAY00000769,MEM000516,MS0000668,119.98,2022-10-25,Debit Card,TXN100189513,Membership + Registration,Completed,2022-10-25
PAY00000770,MEM000517,MS0000669,89.98,2023-03-25,Check,TXN360204611,Membership + Registration,Completed,2023-03-25
PAY00000771,MEM000518,MS0000670,54.99,2023-05-05,Cash,TXN246585765,Monthly Membership,Completed,2023-05-05
PAY00000772,MEM000519,MS0000671,229.98,2024-09-15,Credit Card,TXN785796126,Membership + Registration,Completed,2024-09-15
PAY00000773,MEM000520,MS0000672,89.98,2025-06-10,Debit Card,TXN808998728,Membership + Registration,Completed,2025-06-10
PAY00000774,MEM000521,MS0000673,59.99,2022-12-21,Credit Card,TXN542164889,Membership + Registration,Completed,2022-12-21
PAY00000775,MEM000521,MS0000674,59.99,2023-02-11,Credit Card,TXN500677556,Membership + Registration,Completed,2023-02-11
PAY00000776,MEM000522,MS0000675,119.98,2023-05-11,Cash,TXN553618483,Membership + Registration,Completed,2023-05-11
PAY00000777,MEM000522,MS0000676,119.98,2023-07-04,Credit Card,TXN629020594,Membership + Registration,Completed,2023-07-04
PAY00000778,MEM000523,MS0000677,59.99,2021-06-29,Credit Card,TXN338768920,Membership + Registration,Completed,2021-06-29
PAY00000779,MEM000523,MS0000678,59.99,2021-09-24,Credit Card,TXN748816475,Membership + Registration,Completed,2021-09-24
PAY00000780,MEM000524,MS0000679,58.33,2021-06-14,Credit Card,TXN155927971,Monthly Membership,Completed,2021-06-14
PAY00000781,MEM000524,MS0000679,58.33,2021-12-11,Credit Card,TXN611972077,Monthly Membership,Completed,2021-12-11
PAY00000782,MEM000525,MS0000680,89.98,2020-12-17,Debit Card,TXN981375176,Membership + Registration,Pending,2020-12-20
PAY00000783,MEM000525,MS0000681,119.98,2021-01-19,Credit Card,TXN515899327,Membership + Registration,Completed,2021-01-19
PAY00000784,MEM000526,MS0000682,54.99,2025-08-26,Debit Card,TXN525006770,Membership + Registration,Completed,2025-08-26
PAY00000785,MEM000527,MS0000683,89.98,2020-12-16,Credit Card,TXN613202796,Membership + Registration,Completed,2020-12-16
PAY00000786,MEM000528,MS0000684,89.98,2023-01-02,Bank Transfer,TXN585324623,Membership + Registration,Completed,2023-01-02
PAY00000787,MEM000529,MS0000685,58.33,2021-12-30,Credit Card,TXN629501330,Monthly Membership,Completed,2021-12-30
PAY00000788,MEM000529,MS0000685,58.33,2022-04-29,Credit Card,TXN153842471,Monthly Membership,Completed,2022-04-29
PAY00000789,MEM000529,MS0000685,58.33,2022-08-27,Credit Card,TXN992622901,Monthly Membership,Completed,2022-08-27
PAY00000790,MEM000530,MS0000686,58.33,2024-05-06,Debit Card,TXN684824172,Monthly Membership,Completed,2024-05-06
PAY00000791,MEM000531,MS0000687,59.99,2023-10-14,Credit Card,TXN882754486,Membership + Registration,Completed,2023-10-14
PAY00000792,MEM000531,MS0000688,119.98,2023-11-27,Credit Card,TXN809078392,Membership + Registration,Completed,2023-11-27
PAY00000793,MEM000532,MS0000689,119.98,2024-04-22,Credit Card,TXN754141922,Membership + Registration,Refunded,2024-04-22
PAY00000794,MEM000533,MS0000690,119.98,2023-11-30,Credit Card,TXN512347470,Membership + Registration,Completed,2023-11-30
PAY00000795,MEM000534,MS0000691,229.98,2020-10-15,Credit Card,TXN317261882,Membership + Registration,Completed,2020-10-15
PAY00000796,MEM000535,MS0000692,89.98,2022-05-20,Credit Card,TXN466660914,Membership + Registration,Completed,2022-05-20
PAY00000797,MEM000536,MS0000693,89.98,2022-06-07,Credit Card,TXN354578517,Membership + Registration,Completed,2022-06-07
PAY00000798,MEM000536,MS0000694,58.33,2022-07-18,Credit Card,TXN709937626,Monthly Membership,Completed,2022-07-18
PAY00000799,MEM000536,MS0000694,58.33,2022-11-15,Credit Card,TXN598725709,Monthly Membership,Completed,2022-11-15
PAY00000800,MEM000536,MS0000694,58.33,2023-03-15,Credit Card,TXN774563961,Monthly Membership,Refunded,2023-03-17
PAY00000801,MEM000537,MS0000695,119.98,2021-06-13,Cash,TXN171319693,Membership + Registration,Completed,2021-06-13
PAY00000802,MEM000538,MS0000696,59.99,2021-08-31,Debit Card,TXN410888895,Membership + Registration,Completed,2021-08-31
PAY00000803,MEM000539,MS0000697,25.0,2023-05-27,Credit Card,TXN494936828,Monthly Membership,Completed,2023-05-27
PAY00000804,MEM000539,MS0000698,119.98,2023-06-05,Debit Card,TXN886567737,Membership + Registration,Completed,2023-06-05
PAY00000805,MEM000540,MS0000699,59.99,2025-09-12,Debit Card,TXN733906446,Membership + Registration,Completed,2025-09-12
PAY00000806,MEM000541,MS0000700,119.98,2025-02-01,Debit Card,TXN514692386,Membership + Registration,Completed,2025-02-01
PAY00000807,MEM000542,MS0000701,229.98,2025-08-07,Credit Card,TXN378365189,Membership + Registration,Completed,2025-08-07
PAY00000808,MEM000543,MS0000702,119.98,2022-10-31,Debit Card,TXN469522155,Membership + Registration,Completed,2022-10-31
PAY00000809,MEM000544,MS0000703,229.98,2021-11-29,Credit Card,TXN921655908,Membership + Registration,Completed,2021-11-29
PAY00000810,MEM000545,MS0000704,59.99,2021-06-11,Debit Card,TXN947768070,Membership + Registration,Completed,2021-06-11
PAY00000811,MEM000546,MS0000705,59.99,2025-02-18,Credit Card,TXN960970886,Membership + Registration,Completed,2025-02-18
PAY00000812,MEM000546,MS0000706,89.98,2025-04-29,Credit Card,TXN344799074,Membership + Registration,Completed,2025-04-29
PAY00000813,MEM000547,MS0000707,119.98,2022-06-28,Cash,TXN289159171,Membership + Registration,Completed,2022-06-28
PAY00000814,MEM000547,MS0000708,119.98,2022-10-18,Credit Card,TXN420109360,Membership + Registration,Completed,2022-10-18
PAY00000815,MEM000548,MS0000709,229.98,2021-11-18,Credit Card,TXN858089374,Membership + Registration,Completed,2021-11-18
PAY00000816,MEM000548,MS0000710,229.98,2022-02-12,Credit Card,TXN788781584,Membership + Registration,Completed,2022-02-12
PAY00000817,MEM000549,MS0000711,58.33,2024-06-26,Credit Card,TXN131851642,Monthly Membership,Completed,2024-06-26
PAY00000818,MEM000549,MS0000711,58.33,2024-10-24,Credit Card,TXN542423501,Monthly Membership,Completed,2024-10-24
PAY00000819,MEM000549,MS0000711,58.33,2025-02-21,Credit Card,TXN532391706,Monthly Membership,Completed,2025-02-21
PAY00000820,MEM000550,MS0000712,89.98,2021-12-21,Check,TXN274555221,Membership + Registration,Completed,2021-12-21
PAY00000821,MEM000551,MS0000713,54.99,2022-02-26,Credit Card,TXN806721718,Membership + Registration,Completed,2022-02-26
PAY00000822,MEM000552,MS0000714,229.98,2022-09-10,Debit Card,TXN821091199,Membership + Registration,Completed,2022-09-10
PAY00000823,MEM000552,MS0000715,229.98,2022-10-30,Credit Card,TXN502470356,Membership + Registration,Completed,2022-10-30
PAY00000824,MEM000553,MS0000716,58.33,2024-10-02,Credit Card,TXN684649097,Monthly Membership,Completed,2024-10-02
PAY00000825,MEM000553,MS0000716,58.33,2025-03-31,Credit Card,TXN231767424,Monthly Membership,Completed,2025-03-31
PAY00000826,MEM000553,MS0000717,89.98,2025-10-29,Credit Card,TXN345161033,Membership + Registration,Completed,2025-10-29
PAY00000827,MEM000554,MS0000718,89.98,2025-02-16,Check,TXN597109434,Membership + Registration,Completed,2025-02-16
PAY00000828,MEM000555,MS0000719,119.98,2025-08-30,Debit Card,TXN404054419,Membership + Registration,Completed,2025-08-30
PAY00000829,MEM000555,MS0000720,119.98,2025-12-16,Credit Card,TXN202220534,Membership + Registration,Completed,2025-12-16
PAY00000830,MEM000556,MS0000721,89.98,2025-06-03,Credit Card,TXN395872592,Membership + Registration,Completed,2025-06-03
PAY00000831,MEM000557,MS0000722,229.98,2023-05-11,Cash,TXN409714777,Membership + Registration,Completed,2023-05-11
PAY00000832,MEM000558,MS0000723,119.98,2024-09-25,Debit Card,TXN639019857,Membership + Registration,Completed,2024-09-25
PAY00000833,MEM000558,MS0000724,229.98,2024-12-10,Credit Card,TXN390818989,Membership + Registration,Completed,2024-12-10
PAY00000834,MEM000559,MS0000725,119.98,2025-03-27,Credit Card,TXN797254015,Membership + Registration,Completed,2025-03-27
PAY00000835,MEM000559,MS0000726,119.98,2025-07-19,Credit Card,TXN771886154,Membership + Registration,Completed,2025-07-19
PAY00000836,MEM000560,MS0000727,89.98,2021-11-03,Check,TXN217000760,Membership + Registration,Completed,2021-11-03
PAY00000837,MEM000561,MS0000728,99.99,2021-09-14,Credit Card,TXN165016198,Monthly Membership,Completed,2021-09-14
PAY00000838,MEM000561,MS0000728,99.99,2022-01-12,Debit Card,TXN131620531,Monthly Membership,Completed,2022-01-12
PAY00000839,MEM000561,MS0000728,99.99,2022-05-12,Credit Card,TXN288819303,Monthly Membership,Completed,2022-05-12
PAY00000840,MEM000562,MS0000729,54.99,2021-05-27,Cash,TXN623242758,Membership + Registration,Completed,2021-05-27
PAY00000841,MEM000563,MS0000730,58.33,2021-12-28,Credit Card,TXN185980419,Monthly Membership,Completed,2021-12-28
PAY00000842,MEM000563,MS0000730,58.33,2022-06-26,Debit Card,TXN373330835,Monthly Membership,Completed,2022-06-26
PAY00000843,MEM000564,MS0000731,119.98,2025-03-13,Cash,TXN365638989,Membership + Registration,Completed,2025-03-13
PAY00000844,MEM000565,MS0000732,119.98,2022-02-01,Debit Card,TXN264855630,Membership + Registration,Completed,2022-02-01
PAY00000845,MEM000566,MS0000733,59.99,2023-12-08,Debit Card,TXN917648999,Membership + Registration,Completed,2023-12-08
PAY00000846,MEM000567,MS0000734,59.99,2020-11-11,Credit Card,TXN866068814,Membership + Registration,Pending,2020-11-17
PAY00000847,MEM000568,MS0000735,119.98,2025-03-25,Credit Card,TXN517087695,Membership + Registration,Completed,2025-03-25
PAY00000848,MEM000568,MS0000736,58.33,2025-07-15,Debit Card,TXN192932979,Monthly Membership,Completed,2025-07-15
PAY00000849,MEM000568,MS0000736,58.33,2026-01-11,Debit Card,TXN379488447,Monthly Membership,Completed,2026-01-11
PAY00000850,MEM000569,MS0000737,89.98,2024-08-21,Credit Card,TXN964303180,Membership + Registration,Completed,2024-08-21
PAY00000851,MEM000570,MS0000738,229.98,2024-12-25,Credit Card,TXN960548823,Membership + Registration,Completed,2024-12-25
PAY00000852,MEM000571,MS0000739,229.98,2022-03-24,Debit Card,TXN324409770,Membership + Registration,Completed,2022-03-24
PAY00000853,MEM000571,MS0000740,58.33,2022-05-11,Debit Card,TXN961263715,Monthly Membership,Completed,2022-05-11
PAY00000854,MEM000572,MS0000741,99.99,2025-09-14,Credit Card,TXN997520637,Monthly Membership,Completed,2025-09-14
PAY00000855,MEM000573,MS0000742,119.98,2021-01-18,Debit Card,TXN541341333,Membership + Registration,Completed,2021-01-18
PAY00000856,MEM000574,MS0000743,119.98,2023-01-06,Credit Card,TXN879619143,Membership + Registration,Completed,2023-01-06
PAY00000857,MEM000575,MS0000744,119.98,2021-01-02,Debit Card,TXN374539561,Membership + Registration,Completed,2021-01-02
PAY00000858,MEM000576,MS0000745,89.98,2021-01-14,Bank Transfer,TXN439775561,Membership + Registration,Completed,2021-01-14
PAY00000859,MEM000577,MS0000746,229.98,2022-05-13,Credit Card,TXN130364683,Membership + Registration,Completed,2022-05-13
PAY00000860,MEM000578,MS0000747,58.33,2023-11-12,Credit Card,TXN294894361,Monthly Membership,Completed,2023-11-12
PAY00000861,MEM000578,MS0000747,58.33,2024-05-10,Credit Card,TXN491411886,Monthly Membership,Completed,2024-05-10
PAY00000862,MEM000579,MS0000748,58.33,2023-03-03,Debit Card,TXN522791528,Monthly Membership,Completed,2023-03-03
PAY00000863,MEM000579,MS0000748,58.33,2023-08-30,Bank Transfer,TXN712625083,Monthly Membership,Completed,2023-08-30
PAY00000864,MEM000580,MS0000749,119.98,2024-03-21,Credit Card,TXN591909116,Membership + Registration,Completed,2024-03-21
PAY00000865,MEM000580,MS0000750,89.98,2024-04-29,Credit Card,TXN416212364,Membership + Registration,Completed,2024-04-29
PAY00000866,MEM000581,MS0000751,89.98,2021-06-26,Credit Card,TXN775037701,Membership + Registration,Completed,2021-06-26
PAY00000867,MEM000581,MS0000752,119.98,2021-10-01,Check,TXN426966424,Membership + Registration,Completed,2021-10-01
PAY00000868,MEM000582,MS0000753,54.99,2022-08-31,Credit Card,TXN571858664,Monthly Membership,Completed,2022-08-31
PAY00000869,MEM000582,MS0000754,229.98,2022-11-24,Credit Card,TXN692237980,Membership + Registration,Completed,2022-11-24
PAY00000870,MEM000583,MS0000755,54.99,2023-09-25,Credit Card,TXN272555981,Monthly Membership,Completed,2023-09-25
PAY00000871,MEM000584,MS0000756,119.98,2023-11-08,Credit Card,TXN709845784,Membership + Registration,Completed,2023-11-08
PAY00000872,MEM000585,MS0000757,59.99,2021-11-10,Cash,TXN499534231,Membership + Registration,Completed,2021-11-10
PAY00000873,MEM000586,MS0000758,89.98,2024-10-07,Credit Card,TXN401254507,Membership + Registration,Completed,2024-10-07
PAY00000874,MEM000587,MS0000759,54.99,2020-12-09,Credit Card,TXN757800845,Monthly Membership,Completed,2020-12-09
PAY00000875,MEM000588,MS0000760,54.99,2023-03-10,Credit Card,TXN537654661,Monthly Membership,Completed,2023-03-10
PAY00000876,MEM000589,MS0000761,25.0,2024-09-09,Credit Card,TXN113255418,Monthly Membership,Completed,2024-09-09
PAY00000877,MEM000589,MS0000762,89.98,2024-10-29,Credit Card,TXN704661743,Membership + Registration,Completed,2024-10-29
PAY00000878,MEM000590,MS0000763,59.99,2022-04-29,Cash,TXN321995365,Membership + Registration,Completed,2022-04-29
PAY00000879,MEM000591,MS0000764,119.98,2024-08-14,Credit Card,TXN592165394,Membership + Registration,Completed,2024-08-14
PAY00000880,MEM000591,MS0000765,89.98,2024-10-24,Debit Card,TXN738126247,Membership + Registration,Completed,2024-10-24
PAY00000881,MEM000592,MS0000766,59.99,2023-06-25,Credit Card,TXN160422706,Membership + Registration,Completed,2023-06-25
PAY00000882,MEM000593,MS0000767,119.98,2023-04-29,Credit Card,TXN768990367,Membership + Registration,Completed,2023-04-29
PAY00000883,MEM000594,MS0000768,119.98,2020-12-30,Credit Card,TXN492766621,Membership + Registration,Completed,2020-12-30
PAY00000884,MEM000595,MS0000769,119.98,2022-01-29,Credit Card,TXN309805187,Membership + Registration,Completed,2022-01-29
PAY00000885,MEM000596,MS0000770,119.98,2023-09-18,Debit Card,TXN455721145,Membership + Registration,Completed,2023-09-18
PAY00000886,MEM000597,MS0000771,58.33,2025-03-19,Credit Card,TXN257393442,Monthly Membership,Completed,2025-03-19
PAY00000887,MEM000598,MS0000772,89.98,2024-06-19,Debit Card,TXN333954469,Membership + Registration,Completed,2024-06-19
PAY00000888,MEM000599,MS0000773,229.98,2022-08-10,Credit Card,TXN445891532,Membership + Registration,Completed,2022-08-10
PAY00000889,MEM000600,MS0000774,59.99,2022-04-20,Credit Card,TXN430380176,Membership + Registration,Completed,2022-04-20
PAY00000890,MEM000601,MS0000775,89.98,2025-03-13,Credit Card,TXN783718767,Membership + Registration,Completed,2025-03-13
PAY00000891,MEM000602,MS0000776,119.98,2022-08-05,Cash,TXN924439578,Membership + Registration,Completed,2022-08-05
PAY00000892,MEM000603,MS0000777,119.98,2021-01-25,Debit Card,TXN426035012,Membership + Registration,Completed,2021-01-25
PAY00000893,MEM000603,MS0000778,229.98,2021-04-06,Cash,TXN227054911,Membership + Registration,Completed,2021-04-06
PAY00000894,MEM000604,MS0000779,89.98,2022-10-13,Credit Card,TXN650878671,Membership + Registration,Completed,2022-10-13
PAY00000895,MEM000604,MS0000780,54.99,2023-02-04,Bank Transfer,TXN371343828,Membership + Registration,Completed,2023-02-04
PAY00000896,MEM000605,MS0000781,119.98,2024-06-25,Credit Card,TXN854249400,Membership + Registration,Completed,2024-06-25
PAY00000897,MEM000605,MS0000782,119.98,2024-08-07,Credit Card,TXN194585417,Membership + Registration,Completed,2024-08-07
PAY00000898,MEM000606,MS0000783,119.98,2021-08-05,Bank Transfer,TXN710879281,Membership + Registration,Completed,2021-08-05
PAY00000899,MEM000607,MS0000784,54.99,2021-08-16,Credit Card,TXN269834189,Monthly Membership,Completed,2021-08-16
PAY00000900,MEM000608,MS0000785,229.98,2025-02-17,Debit Card,TXN400595779,Membership + Registration,Completed,2025-02-17
PAY00000901,MEM000609,MS0000786,229.98,2025-06-03,Debit Card,TXN688013588,Membership + Registration,Failed,2025-06-05
PAY00000902,MEM000609,MS0000787,119.98,2025-08-05,Debit Card,TXN514872749,Membership + Registration,Completed,2025-08-05
PAY00000903,MEM000610,MS0000788,229.98,2025-08-15,Credit Card,TXN533606828,Membership + Registration,Completed,2025-08-15
PAY00000904,MEM000610,MS0000789,229.98,2025-11-07,Credit Card,TXN335078580,Membership + Registration,Completed,2025-11-07
PAY00000905,MEM000611,MS0000790,89.98,2021-05-02,Debit Card,TXN339431978,Membership + Registration,Completed,2021-05-02
PAY00000906,MEM000612,MS0000791,119.98,2020-09-26,Credit Card,TXN695155082,Membership + Registration,Completed,2020-09-26
PAY00000907,MEM000613,MS0000792,119.98,2023-03-23,Credit Card,TXN874237544,Membership + Registration,Failed,2023-03-28
PAY00000908,MEM000614,MS0000793,54.99,2021-10-01,Credit Card,TXN719209672,Membership + Registration,Completed,2021-10-01
PAY00000909,MEM000615,MS0000794,229.98,2021-05-12,Credit Card,TXN196778303,Membership + Registration,Completed,2021-05-12
PAY00000910,MEM000616,MS0000795,229.98,2024-11-12,Bank Transfer,TXN899690898,Membership + Registration,Refunded,2024-11-15
PAY00000911,MEM000617,MS0000796,119.98,2023-05-23,Credit Card,TXN675895234,Membership + Registration,Completed,2023-05-23
PAY00000912,MEM000618,MS0000797,58.33,2025-03-16,Credit Card,TXN225153631,Monthly Membership,Completed,2025-03-16
PAY00000913,MEM000618,MS0000797,58.33,2025-09-12,Credit Card,TXN511181920,Monthly Membership,Completed,2025-09-12
PAY00000914,MEM000619,MS0000798,99.99,2025-02-14,Debit Card,TXN623943961,Monthly Membership,Completed,2025-02-14
PAY00000915,MEM000619,MS0000798,99.99,2025-06-14,Bank Transfer,TXN222962302,Monthly Membership,Completed,2025-06-14
PAY00000916,MEM000619,MS0000798,99.99,2025-10-12,Credit Card,TXN506981044,Monthly Membership,Completed,2025-10-12
PAY00000917,MEM000619,MS0000799,58.33,2026-03-10,Credit Card,TXN536591963,Monthly Membership,Completed,2026-03-10
PAY00000918,MEM000619,MS0000799,58.33,2026-09-06,Credit Card,TXN170615865,Monthly Membership,Failed,2026-09-12
PAY00000919,MEM000620,MS0000800,119.98,2021-04-06,Credit Card,TXN135961155,Membership + Registration,Completed,2021-04-06
PAY00000920,MEM000621,MS0000801,119.98,2022-03-21,Debit Card,TXN348749607,Membership + Registration,Completed,2022-03-21
PAY00000921,MEM000622,MS0000802,229.98,2024-08-01,Debit Card,TXN155312623,Membership + Registration,Completed,2024-08-01
PAY00000922,MEM000623,MS0000803,119.98,2021-07-19,Credit Card,TXN780160389,Membership + Registration,Completed,2021-07-19
PAY00000923,MEM000624,MS0000804,119.98,2022-12-15,Credit Card,TXN436429273,Membership + Registration,Completed,2022-12-15
PAY00000924,MEM000624,MS0000805,229.98,2023-02-03,Debit Card,TXN140198323,Membership + Registration,Completed,2023-02-03
PAY00000925,MEM000624,MS0000806,229.98,2023-05-12,Debit Card,TXN102941340,Membership + Registration,Completed,2023-05-12
PAY00000926,MEM000625,MS0000807,119.98,2023-06-18,Credit Card,TXN626621739,Membership + Registration,Completed,2023-06-18
PAY00000927,MEM000626,MS0000808,59.99,2024-01-12,Debit Card,TXN965526778,Membership + Registration,Completed,2024-01-12
