membershipid,memberid,membershiptypeid,startdate,enddate,status,autorenew
MS0000385,MEM000291,MT005,2024-08-03,2024-09-02,Expired,False
MS0000386,MEM000292,MT002,2022-06-02,2022-07-02,Cancelled,False
MS0000387,MEM000292,MT005,2022-09-11,2022-10-11,Expired,False
MS0000388,MEM000293,MT001,2022-11-10,2022-12-10,Expired,False
MS0000389,MEM000294,MT003,2025-07-31,2025-08-30,Expired,False
MS0000390,MEM000295,MT002,2025-01-29,2025-02-28,Expired,False
MS0000391,MEM000296,MT005,2023-10-08,2023-11-07,Cancelled,False
MS0000392,MEM000296,MT005,2024-01-26,2024-02-25,Expired,False
MS0000393,MEM000297,MT008,2020-09-29,2021-09-24,Expired,False
MS0000394,MEM000298,MT002,2024-05-12,2024-06-11,Expired,False
MS0000395,MEM000299,MT005,2021-06-06,2021-07-06,Cancelled,False
MS0000396,MEM000299,MT005,2021-07-28,2021-08-27,Expired,False
MS0000397,MEM000300,MT001,2024-03-11,2024-04-10,Expired,False
MS0000398,MEM000300,MT004,2024-04-25,2024-05-25,Expired,False
MS0000399,MEM000301,MT002,2023-06-04,2023-07-04,Expired,False
MS0000400,MEM000302,MT004,2024-03-14,2024-04-13,Expired,False
MS0000401,MEM000302,MT009,2024-05-05,2024-05-05,Expired,False
MS0000402,MEM000303,MT003,2021-12-14,2022-01-13,Expired,False
MS0000403,MEM000304,MT002,2022-03-30,2022-04-29,Expired,False
MS0000404,MEM000305,MT005,2021-09-27,2021-10-27,Expired,False
MS0000405,MEM000306,MT007,2025-07-04,2026-06-29,Active,True
MS0000406,MEM000307,MT002,2023-01-10,2023-02-09,Expired,False
MS0000407,MEM000308,MT002,2021-06-19,2021-07-19,Expired,False
MS0000408,MEM000308,MT002,2021-09-18,2021-10-18,Expired,False
MS0000409,MEM000309,MT001,2024-06-03,2024-07-03,Expired,False
MS0000410,MEM000310,MT006,2024-09-28,2024-10-28,Expired,False
MS0000411,MEM000311,MT001,2022-12-12,2023-01-11,Expired,False
MS0000412,MEM000312,MT001,2021-03-30,2021-04-29,Expired,False
MS0000413,MEM000313,MT002,2025-01-06,2025-02-05,Expired,False
MS0000414,MEM000313,MT001,2025-02-12,2025-03-14,Expired,False
MS0000415,MEM000314,MT006,2023-07-02,2023-08-01,Expired,False
MS0000416,MEM000315,MT005,2024-11-17,2024-12-17,Expired,False
MS0000417,MEM000316,MT001,2025-07-29,2025-08-28,Expired,False
MS0000418,MEM000317,MT001,2023-04-03,2023-05-03,Expired,False
MS0000419,MEM000318,MT006,2024-10-12,2024-11-11,Cancelled,False
MS0000420,MEM000318,MT008,2024-11-30,2025-11-25,Active,True
MS0000421,MEM000319,MT006,2025-08-21,2025-09-20,Expired,False
MS0000422,MEM000320,MT006,2021-03-31,2021-04-30,Expired,False
MS0000423,MEM000321,MT001,2020-11-10,2020-12-10,Expired,False
MS0000424,MEM000322,MT005,2021-04-24,2021-05-24,Cancelled,False
MS0000425,MEM000323,MT001,2025-02-12,2025-03-14,Expired,False
MS0000426,MEM000324,MT008,2024-12-12,2025-12-07,Active,True
MS0000427,MEM000325,MT002,2023-07-17,2023-08-16,Expired,False
MS0000428,MEM000326,MT001,2024-09-29,2024-10-29,Expired,False
MS0000429,MEM000327,MT007,2025-09-14,2026-09-09,Active,True
MS0000430,MEM000328,MT002,2021-05-26,2021-06-25,Expired,False
MS0000431,MEM000329,MT007,2023-04-08,2024-04-02,Expired,False
MS0000432,MEM000330,MT003,2022-04-04,2022-05-04,Expired,False
MS0000433,MEM000331,MT001,2024-05-28,2024-06-27,Expired,False
MS0000434,MEM000332,MT002,2021-02-06,2021-03-08,Cancelled,False
MS0000435,MEM000332,MT002,2021-03-22,2021-04-21,Expired,False
MS0000436,MEM000333,MT001,2022-07-25,2022-08-24,Expired,False
MS0000437,MEM000334,MT001,2024-04-14,2024-05-14,Expired,False
MS0000438,MEM000335,MT007,2021-01-05,2021-12-31,Expired,False
MS0000439,MEM000336,MT002,2024-01-10,2024-02-09,Cancelled,False
MS0000440,MEM000336,MT009,2024-02-21,2024-02-21,Expired,False
MS0000441,MEM000337,MT002,2023-12-02,2024-01-01,Expired,False
MS0000442,MEM000338,MT002,2024-07-12,2024-08-11,Expired,False
MS0000443,MEM000339,MT004,2021-10-27,2021-11-26,Expired,False
MS0000444,MEM000340,MT001,2022-06-12,2022-07-12,Expired,False
MS0000445,MEM000341,MT003,2021-04-08,2021-05-08,Expired,False
MS0000446,MEM000342,MT002,2022-04-02,2022-05-02,Expired,False
MS0000447,MEM000343,MT005,2023-05-24,2023-06-23,Expired,False
MS0000448,MEM000343,MT005,2023-09-02,2023-10-02,Expired,False
MS0000449,MEM000344,MT005,2024-09-21,2024-10-21,Expired,False
MS0000450,MEM000345,MT002,2021-10-11,2021-11-10,Expired,False
MS0000451,MEM000345,MT004,2021-12-12,2022-01-11,Expired,False
MS0000452,MEM000346,MT001,2021-05-22,2021-06-21,Expired,False
MS0000453,MEM000347,MT002,2024-12-13,2025-01-12,Expired,False
MS0000454,MEM000348,MT008,2025-06-13,2026-06-08,Expired,False
MS0000455,MEM000349,MT001,2021-11-23,2021-12-23,Cancelled,False
MS0000456,MEM000349,MT001,2022-01-11,2022-02-10,Expired,False
MS0000457,MEM000350,MT002,2022-02-10,2022-03-12,Expired,False
MS0000458,MEM000351,MT007,2024-05-14,2025-05-09,Expired,False
MS0000459,MEM000351,MT001,2025-06-30,2025-07-30,Cancelled,False
MS0000460,MEM000352,MT001,2023-12-06,2024-01-05,Expired,False
MS0000461,MEM000353,MT006,2020-12-14,2021-01-13,Expired,False
MS0000462,MEM000354,MT001,2022-03-11,2022-04-10,Expired,False
MS0000463,MEM000355,MT002,2020-11-01,2020-12-01,Expired,False
MS0000464,MEM000356,MT002,2024-11-07,2024-12-07,Expired,False
MS0000465,MEM000357,MT002,2023-08-18,2023-09-17,Expired,False
MS0000466,MEM000357,MT007,2023-12-12,2024-12-06,Expired,False
MS0000467,MEM000358,MT001,2025-07-06,2025-08-05,Expired,False
MS0000468,MEM000359,MT002,2025-04-18,2025-05-18,Expired,False
MS0000469,MEM000360,MT002,2024-08-12,2024-09-11,Expired,False
MS0000470,MEM000361,MT001,2023-06-01,2023-07-01,Expired,False
MS0000471,MEM000362,MT002,2023-10-20,2023-11-19,Expired,False
MS0000472,MEM000363,MT002,2022-10-03,2022-11-02,Expired,False
MS0000473,MEM000364,MT001,2021-01-01,2021-01-31,Expired,False
MS0000474,MEM000365,MT007,2021-10-01,2022-09-26,Cancelled,False
MS0000475,MEM000365,MT007,2022-12-02,2023-11-27,Expired,False
MS0000476,MEM000366,MT006,2023-09-27,2023-10-27,Expired,False
MS0000477,MEM000367,MT002,2025-07-25,2025-08-24,Expired,False
MS0000478,MEM000368,MT005,2022-12-26,2023-01-25,Expired,False
MS0000479,MEM000369,MT002,2021-05-29,2021-06-28,Expired,False
MS0000480,MEM000370,MT001,2022-05-19,2022-06-18,Expired,False
MS0000481,MEM000371,MT002,2025-01-21,2025-02-20,Expired,False
MS0000482,MEM000372,MT002,2024-12-17,2025-01-16,Cancelled,False
MS0000483,MEM000372,MT007,2025-03-14,2026-03-09,Active,True
MS0000484,MEM000373,MT003,2024-05-12,2024-06-11,Expired,False
MS0000485,MEM000374,MT005,2023-11-26,2023-12-26,Expired,False
MS0000486,MEM000374,MT002,2024-01-31,2024-03-01,Expired,False
MS0000487,MEM000375,MT001,2022-01-22,2022-02-21,Expired,False
MS0000488,MEM000376,MT006,2023-05-13,2023-06-12,Expired,False
MS0000489,MEM000377,MT002,2025-03-18,2025-04-17,Expired,False
MS0000490,MEM000378,MT003,2022-08-12,2022-09-11,Expired,False
MS0000491,MEM000379,MT006,2021-11-02,2021-12-02,Expired,False
MS0000492,MEM000380,MT004,2023-07-21,2023-08-20,Expired,False
MS0000493,MEM000381,MT007,2024-06-27,2025-06-22,Cancelled,False
MS0000494,MEM000381,MT008,2025-06-29,2026-06-24,Active,True
MS0000495,MEM000382,MT002,2025-05-31,2025-06-30,Expired,False
MS0000496,MEM000383,MT005,2021-07-13,2021-08-12,Expired,False
MS0000497,MEM000384,MT005,2021-02-11,2021-03-13,Expired,False
MS0000498,MEM000385,MT001,2023-08-22,2023-09-21,Cancelled,False
MS0000499,MEM000385,MT005,2023-09-27,2023-10-27,Expired,False
MS0000500,MEM000386,MT006,2022-08-18,2022-09-17,Expired,False
MS0000501,MEM000387,MT003,2023-09-12,2023-10-12,Expired,False
MS0000502,MEM000388,MT007,2024-11-12,2025-11-07,Active,True
MS0000503,MEM000389,MT002,2021-09-10,2021-10-10,Expired,False
MS0000504,MEM000390,MT001,2023-10-10,2023-11-09,Expired,False
MS0000505,MEM000391,MT004,2021-01-17,2021-02-16,Cancelled,False
MS0000506,MEM000391,MT001,2021-04-13,2021-05-13,Expired,False
MS0000507,MEM000392,MT004,2022-06-14,2022-07-14,Cancelled,False
MS0000508,MEM000392,MT002,2022-09-06,2022-10-06,Expired,False
MS0000509,MEM000393,MT007,2024-07-30,2025-07-25,Expired,False
MS0000510,MEM000394,MT004,2023-06-16,2023-07-16,Expired,False
MS0000511,MEM000395,MT002,2025-02-14,2025-03-16,Expired,False
MS0000512,MEM000395,MT002,2025-05-17,2025-06-16,Expired,False
MS0000513,MEM000396,MT003,2021-09-21,2021-10-21,Expired,False
MS0000514,MEM000396,MT007,2022-01-19,2023-01-14,Expired,False
MS0000515,MEM000397,MT001,2024-01-22,2024-02-21,Expired,False
MS0000516,MEM000398,MT001,2023-10-21,2023-11-20,Expired,False
MS0000517,MEM000399,MT001,2021-07-11,2021-08-10,Expired,False
MS0000518,MEM000400,MT001,2021-02-19,2021-03-21,Expired,False
MS0000519,MEM000400,MT007,2021-06-16,2022-06-11,Expired,False
MS0000520,MEM000401,MT001,2025-06-23,2025-07-23,Expired,False
MS0000521,MEM000402,MT007,2023-11-14,2024-11-08,Expired,False
MS0000522,MEM000403,MT005,2024-10-18,2024-11-17,Expired,False
MS0000523,MEM000404,MT002,2022-05-27,2022-06-26,Expired,False
MS0000524,MEM000405,MT001,2023-05-16,2023-06-15,Expired,False
MS0000525,MEM000406,MT005,2021-11-18,2021-12-18,Expired,False
MS0000526,MEM000407,MT006,2022-06-14,2022-07-14,Expired,False
MS0000527,MEM000408,MT001,2022-10-12,2022-11-11,Expired,False
MS0000528,MEM000409,MT007,2024-02-02,2025-01-27,Cancelled,False
MS0000529,MEM000409,MT002,2025-02-02,2025-03-04,Expired,False
MS0000530,MEM000410,MT005,2022-05-07,2022-06-06,Expired,False
MS0000531,MEM000411,MT007,2023-10-30,2024-10-24,Expired,False
MS0000532,MEM000411,MT008,2024-12-05,2025-11-30,Active,True
MS0000533,MEM000412,MT001,2021-01-13,2021-02-12,Expired,False
MS0000534,MEM000413,MT008,2024-04-04,2025-03-30,Expired,False
MS0000535,MEM000414,MT002,2022-03-14,2022-04-13,Cancelled,False
MS0000536,MEM000414,MT005,2022-06-03,2022-07-03,Expired,False
MS0000537,MEM000414,MT001,2022-08-31,2022-09-30,Cancelled,False
MS0000538,MEM000415,MT003,2021-05-29,2021-06-28,Expired,False
MS0000539,MEM000416,MT002,2023-01-09,2023-02-08,Expired,False
MS0000540,MEM000417,MT001,2022-06-04,2022-07-04,Expired,False
MS0000541,MEM000418,MT002,2021-09-01,2021-10-01,Expired,False
MS0000542,MEM000419,MT006,2021-09-29,2021-10-29,Expired,False
MS0000543,MEM000420,MT006,2020-11-06,2020-12-06,Expired,False
MS0000544,MEM000421,MT002,2022-10-03,2022-11-02,Expired,False
MS0000545,MEM000422,MT002,2023-03-31,2023-04-30,Cancelled,False
MS0000546,MEM000422,MT001,2023-05-08,2023-06-07,Expired,False
MS0000547,MEM000423,MT003,2024-07-03,2024-08-02,Expired,False
MS0000548,MEM000423,MT007,2024-10-19,2025-10-14,Expired,False
MS0000549,MEM000424,MT006,2024-10-23,2024-11-22,Expired,False
MS0000550,MEM000425,MT005,2023-09-08,2023-10-08,Expired,False
MS0000551,MEM000426,MT002,2022-02-02,2022-03-04,Cancelled,False
MS0000552,MEM000426,MT002,2022-03-09,2022-04-08,Expired,False
MS0000553,MEM000427,MT001,2024-04-21,2024-05-21,Cancelled,False
MS0000554,MEM000427,MT005,2024-08-03,2024-09-02,Expired,False
MS0000555,MEM000428,MT007,2022-12-27,2023-12-22,Expired,False
MS0000556,MEM000428,MT002,2024-02-23,2024-03-24,Expired,False
MS0000557,MEM000429,MT001,2023-05-20,2023-06-19,Expired,False
MS0000558,MEM000430,MT007,2023-07-18,2024-07-12,Expired,False
MS0000559,MEM000431,MT007,2021-03-15,2022-03-10,Expired,False
MS0000560,MEM000431,MT002,2022-03-16,2022-04-15,Expired,False
MS0000561,MEM000432,MT006,2024-02-27,2024-03-28,Cancelled,False
MS0000562,MEM000432,MT002,2024-04-20,2024-05-20,Expired,False
MS0000563,MEM000433,MT002,2020-12-09,2021-01-08,Expired,False
MS0000564,MEM000434,MT003,2025-07-02,2025-08-01,Expired,False
MS0000565,MEM000435,MT002,2021-05-15,2021-06-14,Expired,False
MS0000566,MEM000436,MT002,2021-11-07,2021-12-07,Expired,False
MS0000567,MEM000436,MT006,2022-02-21,2022-03-23,Expired,False
MS0000568,MEM000437,MT005,2024-02-23,2024-03-24,Expired,False
MS0000569,MEM000438,MT004,2023-05-31,2023-06-30,Expired,False
MS0000570,MEM000438,MT002,2023-07-12,2023-08-11,Expired,False
MS0000571,MEM000439,MT004,2021-05-24,2021-06-23,Expired,False
MS0000572,MEM000440,MT004,2022-06-18,2022-07-18,Expired,False
MS0000573,MEM000441,MT001,2021-04-28,2021-05-28,Expired,False
MS0000574,MEM000442,MT005,2021-06-25,2021-07-25,Cancelled,False
MS0000575,MEM000442,MT001,2021-10-01,2021-10-31,Expired,False
MS0000576,MEM000443,MT005,2022-10-16,2022-11-15,Expired,False
MS0000577,MEM000444,MT006,2025-06-17,2025-07-17,Expired,False
MS0000578,MEM000445,MT002,2022-11-15,2022-12-15,Expired,False
MS0000579,MEM000445,MT003,2022-12-25,2023-01-24,Expired,False
MS0000580,MEM000446,MT002,2025-03-14,2025-04-13,Expired,False
MS0000581,MEM000447,MT003,2023-05-04,2023-06-03,Cancelled,False
MS0000582,MEM000447,MT001,2023-08-03,2023-09-02,Expired,False
MS0000583,MEM000448,MT005,2023-04-24,2023-05-24,Expired,False
MS0000584,MEM000449,MT002,2023-08-26,2023-09-25,Expired,False
MS0000585,MEM000450,MT001,2024-05-20,2024-06-19,Cancelled,False
MS0000586,MEM000450,MT005,2024-09-03,2024-10-03,Expired,False
MS0000587,MEM000451,MT002,2020-11-08,2020-12-08,Expired,False
MS0000588,MEM000451,MT001,2020-12-23,2021-01-22,Expired,False
MS0000589,MEM000452,MT007,2024-05-17,2025-05-12,Expired,False
MS0000590,MEM000453,MT004,2022-01-31,2022-03-02,Expired,False
MS0000591,MEM000454,MT002,2021-04-02,2021-05-02,Expired,False
MS0000592,MEM000455,MT003,2023-04-25,2023-05-25,Expired,False
MS0000593,MEM000456,MT001,2022-10-12,2022-11-11,Expired,False
MS0000594,MEM000457,MT005,2024-03-16,2024-04-15,Expired,False
MS0000595,MEM000458,MT003,2022-10-30,2022-11-29,Expired,False
MS0000596,MEM000459,MT001,2020-10-06,2020-11-05,Cancelled,False
MS0000597,MEM000459,MT005,2020-11-10,2020-12-10,Expired,False
MS0000598,MEM000460,MT002,2024-12-13,2025-01-12,Expired,False
MS0000599,MEM000461,MT001,2021-03-05,2021-04-04,Cancelled,False
MS0000600,MEM000462,MT005,2024-02-28,2024-03-29,Expired,False
MS0000601,MEM000463,MT002,2024-07-12,2024-08-11,Expired,False
MS0000602,MEM000464,MT001,2021-04-12,2021-05-12,Expired,False
MS0000603,MEM000465,MT001,2024-06-20,2024-07-20,Expired,False
MS0000604,MEM000466,MT001,2022-12-12,2023-01-11,Expired,False
MS0000605,MEM000467,MT002,2023-10-19,2023-11-18,Expired,False
MS0000606,MEM000468,MT002,2023-11-27,2023-12-27,Expired,False
MS0000607,MEM000469,MT007,2025-04-26,2026-04-21,Expired,False
MS0000608,MEM000470,MT005,2024-02-22,2024-03-23,Expired,False
MS0000609,MEM000471,MT004,2025-02-17,2025-03-19,Expired,False
MS0000610,MEM000471,MT009,2025-04-27,2025-04-27,Expired,False
MS0000611,MEM000472,MT006,2022-12-01,2022-12-31,Expired,False
MS0000612,MEM000473,MT007,2024-11-24,2025-11-19,Active,True
MS0000613,MEM000474,MT007,2025-06-17,2026-06-12,Expired,False
MS0000614,MEM000474,MT002,2026-08-11,2026-09-10,Active,False
MS0000615,MEM000475,MT008,2024-11-29,2025-11-24,Expired,False
MS0000616,MEM000475,MT003,2026-01-05,2026-02-04,Active,False
MS0000617,MEM000476,MT007,2023-10-29,2024-10-23,Expired,False
MS0000618,MEM000477,MT006,2024-09-10,2024-10-10,Expired,False
MS0000619,MEM000478,MT001,2022-10-17,2022-11-16,Expired,False
MS0000620,MEM000479,MT002,2024-06-04,2024-07-04,Expired,False
MS0000621,MEM000480,MT004,2020-10-12,2020-11-11,Expired,False
MS0000622,MEM000481,MT005,2023-05-22,2023-06-21,Expired,False
MS0000623,MEM000482,MT001,2024-10-06,2024-11-05,Expired,False
MS0000624,MEM000483,MT002,2023-12-16,2024-01-15,Expired,False
MS0000625,MEM000484,MT006,2024-09-20,2024-10-20,Expired,False
MS0000626,MEM000485,MT001,2024-01-03,2024-02-02,Cancelled,False
MS0000627,MEM000485,MT002,2024-02-19,2024-03-20,Expired,False
MS0000628,MEM000486,MT001,2024-11-03,2024-12-03,Cancelled,False
MS0000629,MEM000486,MT007,2024-12-16,2025-12-11,Active,True
MS0000630,MEM000487,MT002,2025-03-17,2025-04-16,Expired,False
MS0000631,MEM000488,MT005,2022-06-29,2022-07-29,Expired,False
MS0000632,MEM000489,MT002,2025-03-11,2025-04-10,Expired,False
MS0000633,MEM000490,MT007,2021-07-08,2022-07-03,Expired,False
MS0000634,MEM000491,MT002,2021-08-14,2021-09-13,Expired,False
MS0000635,MEM000492,MT002,2021-02-10,2021-03-12,Expired,False
MS0000636,MEM000493,MT001,2025-01-06,2025-02-05,Expired,False
MS0000637,MEM000494,MT004,2021-09-12,2021-10-12,Cancelled,False
MS0000638,MEM000494,MT001,2021-12-21,2022-01-20,Expired,False
MS0000639,MEM000495,MT007,2023-04-30,2024-04-24,Expired,False
MS0000640,MEM000496,MT002,2021-12-16,2022-01-15,Expired,False
MS0000641,MEM000496,MT009,2022-03-30,2022-03-30,Expired,False
MS0000642,MEM000497,MT008,2024-12-26,2025-12-21,Active,True
MS0000643,MEM000498,MT001,2020-12-06,2021-01-05,Expired,False
MS0000644,MEM000499,MT002,2020-10-17,2020-11-16,Expired,False
MS0000645,MEM000500,MT003,2025-01-14,2025-02-13,Expired,False
MS0000646,MEM000501,MT008,2021-07-17,2022-07-12,Expired,False
MS0000647,MEM000502,MT006,2021-10-22,2021-11-21,Cancelled,False
MS0000648,MEM000502,MT001,2022-01-01,2022-01-31,Expired,False
MS0000649,MEM000503,MT005,2022-01-03,2022-02-02,Expired,False
MS0000650,MEM000504,MT003,2023-11-22,2023-12-22,Expired,False
MS0000651,MEM000505,MT001,2021-12-18,2022-01-17,Expired,False
MS0000652,MEM000506,MT002,2024-01-06,2024-02-05,Expired,False
MS0000653,MEM000506,MT008,2024-02-06,2025-01-31,Cancelled,False
MS0000654,MEM000506,MT007,2025-02-21,2026-02-16,Cancelled,False
MS0000655,MEM000507,MT006,2023-03-27,2023-04-26,Expired,False
MS0000656,MEM000507,MT002,2023-05-30,2023-06-29,Expired,False
MS0000657,MEM000508,MT005,2024-03-04,2024-04-03,Expired,False
MS0000658,MEM000509,MT005,2024-03-02,2024-04-01,Expired,False
MS0000659,MEM000510,MT007,2021-03-11,2022-03-06,Expired,False
MS0000660,MEM000511,MT003,2020-11-08,2020-12-08,Expired,False
MS0000661,MEM000511,MT007,2021-02-26,2022-02-21,Expired,False
MS0000662,MEM000512,MT006,2022-01-01,2022-01-31,Expired,False
MS0000663,MEM000513,MT007,2025-03-19,2026-03-14,Cancelled,False
MS0000664,MEM000513,MT001,2026-04-10,2026-05-10,Active,False
MS0000665,MEM000514,MT001,2021-03-09,2021-04-08,Expired,False
MS0000666,MEM000514,MT003,2021-04-19,2021-05-19,Expired,False
MS0000667,MEM000515,MT001,2024-09-13,2024-10-13,Expired,False
MS0000668,MEM000516,MT002,2022-10-25,2022-11-24,Expired,False
MS0000669,MEM000517,MT001,2023-03-25,2023-04-24,Expired,False
MS0000670,MEM000518,MT006,2023-05-05,2023-06-04,Expired,False
MS0000671,MEM000519,MT003,2024-09-15,2024-10-15,Expired,False
MS0000672,MEM000520,MT001,2025-06-10,2025-07-10,Expired,False
MS0000673,MEM000521,MT005,2022-12-21,2023-01-20,Expired,False
MS0000674,MEM000521,MT005,2023-02-11,2023-03-13,Expired,False
MS0000675,MEM000522,MT002,2023-05-11,2023-06-10,Expired,False
MS0000676,MEM000522,MT002,2023-07-04,2023-08-03,Expired,False
MS0000677,MEM000523,MT005,2021-06-29,2021-07-29,Expired,False
MS0000678,MEM000523,MT005,2021-09-24,2021-10-24,Expired,False
MS0000679,MEM000524,MT007,2021-06-14,2022-06-09,Expired,False
MS0000680,MEM000525,MT001,2020-12-17,2021-01-16,Cancelled,False
MS0000681,MEM000525,MT002,2021-01-19,2021-02-18,Expired,False
MS0000682,MEM000526,MT004,2025-08-26,2025-09-25,Expired,False
MS0000683,MEM000527,MT001,2020-12-16,2021-01-15,Expired,False
MS0000684,MEM000528,MT001,2023-01-02,2023-02-01,Expired,False
MS0000685,MEM000529,MT007,2021-12-30,2022-12-25,Expired,False
MS0000686,MEM000530,MT007,2024-05-06,2025-05-01,Expired,False
MS0000687,MEM000531,MT005,2023-10-14,2023-11-13,Expired,False
MS0000688,MEM000531,MT002,2023-11-27,2023-12-27,Expired,False
MS0000689,MEM000532,MT002,2024-04-22,2024-05-22,Expired,False
MS0000690,MEM000533,MT002,2023-11-30,2023-12-30,Expired,False
MS0000691,MEM000534,MT003,2020-10-15,2020-11-14,Expired,False
MS0000692,MEM000535,MT001,2022-05-20,2022-06-19,Expired,False
MS0000693,MEM000536,MT001,2022-06-07,2022-07-07,Cancelled,False
MS0000694,MEM000536,MT007,2022-07-18,2023-07-13,Expired,False
MS0000695,MEM000537,MT002,2021-06-13,2021-07-13,Expired,False
MS0000696,MEM000538,MT005,2021-08-31,2021-09-30,Expired,False
MS0000697,MEM000539,MT009,2023-05-27,2023-05-27,Expired,False
MS0000698,MEM000539,MT002,2023-06-05,2023-07-05,Expired,False
MS0000699,MEM000540,MT005,2025-09-12,2025-10-12,Expired,False
MS0000700,MEM000541,MT002,2025-02-01,2025-03-03,Expired,False
MS0000701,MEM000542,MT003,2025-08-07,2025-09-06,Expired,False
MS0000702,MEM000543,MT002,2022-10-31,2022-11-30,Expired,False
MS0000703,MEM000544,MT003,2021-11-29,2021-12-29,Expired,False
MS0000704,MEM000545,MT005,2021-06-11,2021-07-11,Expired,False
MS0000705,MEM000546,MT005,2025-02-18,2025-03-20,Cancelled,False
MS0000706,MEM000546,MT001,2025-04-29,2025-05-29,Expired,False
MS0000707,MEM000547,MT002,2022-06-28,2022-07-28,Cancelled,False
MS0000708,MEM000547,MT002,2022-10-18,2022-11-17,Expired,False
MS0000709,MEM000548,MT003,2021-11-18,2021-12-18,Expired,False
MS0000710,MEM000548,MT003,2022-02-12,2022-03-14,Expired,False
MS0000711,MEM000549,MT007,2024-06-26,2025-06-21,Expired,False
MS0000712,MEM000550,MT001,2021-12-21,2022-01-20,Expired,False
MS0000713,MEM000551,MT004,2022-02-26,2022-03-28,Expired,False
MS0000714,MEM000552,MT003,2022-09-10,2022-10-10,Cancelled,False
MS0000715,MEM000552,MT003,2022-10-30,2022-11-29,Expired,False
MS0000716,MEM000553,MT007,2024-10-02,2025-09-27,Expired,False
MS0000717,MEM000553,MT001,2025-10-29,2025-11-28,Active,False
MS0000718,MEM000554,MT001,2025-02-16,2025-03-18,Expired,False
MS0000719,MEM000555,MT002,2025-08-30,2025-09-29,Cancelled,False
MS0000720,MEM000555,MT002,2025-12-16,2026-01-15,Expired,False
MS0000721,MEM000556,MT001,2025-06-03,2025-07-03,Expired,False
MS0000722,MEM000557,MT003,2023-05-11,2023-06-10,Expired,False
MS0000723,MEM000558,MT002,2024-09-25,2024-10-25,Expired,False
MS0000724,MEM000558,MT003,2024-12-10,2025-01-09,Expired,False
MS0000725,MEM000559,MT002,2025-03-27,2025-04-26,Cancelled,False
MS0000726,MEM000559,MT002,2025-07-19,2025-08-18,Expired,False
MS0000727,MEM000560,MT001,2021-11-03,2021-12-03,Expired,False
MS0000728,MEM000561,MT008,2021-09-14,2022-09-09,Expired,False
MS0000729,MEM000562,MT004,2021-05-27,2021-06-26,Expired,False
MS0000730,MEM000563,MT007,2021-12-28,2022-12-23,Expired,False
MS0000731,MEM000564,MT002,2025-03-13,2025-04-12,Expired,False
MS0000732,MEM000565,MT002,2022-02-01,2022-03-03,Expired,False
MS0000733,MEM000566,MT005,2023-12-08,2024-01-07,Expired,False
MS0000734,MEM000567,MT005,2020-11-11,2020-12-11,Expired,False
MS0000735,MEM000568,MT002,2025-03-25,2025-04-24,Expired,False
MS0000736,MEM000568,MT007,2025-07-15,2026-07-10,Active,True
MS0000737,MEM000569,MT001,2024-08-21,2024-09-20,Expired,False
MS0000738,MEM000570,MT003,2024-12-25,2025-01-24,Expired,False
MS0000739,MEM000571,MT003,2022-03-24,2022-04-23,Expired,False
MS0000740,MEM000571,MT007,2022-05-11,2023-05-06,Expired,False
MS0000741,MEM000572,MT008,2025-09-14,2026-09-09,Expired,False
MS0000742,MEM000573,MT002,2021-01-18,2021-02-17,Expired,False
MS0000743,MEM000574,MT002,2023-01-06,2023-02-05,Expired,False
MS0000744,MEM000575,MT002,2021-01-02,2021-02-01,Expired,False
MS0000745,MEM000576,MT001,2021-01-14,2021-02-13,Expired,False
MS0000746,MEM000577,MT003,2022-05-13,2022-06-12,Expired,False
MS0000747,MEM000578,MT007,2023-11-12,2024-11-06,Expired,False
MS0000748,MEM000579,MT007,2023-03-03,2024-02-26,Expired,False
MS0000749,MEM000580,MT002,2024-03-21,2024-04-20,Expired,False
MS0000750,MEM000580,MT001,2024-04-29,2024-05-29,Expired,False
MS0000751,MEM000581,MT001,2021-06-26,2021-07-26,Cancelled,False
MS0000752,MEM000581,MT002,2021-10-01,2021-10-31,Expired,False
MS0000753,MEM000582,MT006,2022-08-31,2022-09-30,Expired,False
MS0000754,MEM000582,MT003,2022-11-24,2022-12-24,Expired,False
MS0000755,MEM000583,MT006,2023-09-25,2023-10-25,Expired,False
MS0000756,MEM000584,MT002,2023-11-08,2023-12-08,Expired,False
MS0000757,MEM000585,MT005,2021-11-10,2021-12-10,Expired,False
MS0000758,MEM000586,MT001,2024-10-07,2024-11-06,Expired,False
MS0000759,MEM000587,MT006,2020-12-09,2021-01-08,Expired,False
MS0000760,MEM000588,MT006,2023-03-10,2023-04-09,Expired,False
MS0000761,MEM000589,MT009,2024-09-09,2024-09-09,Expired,False
MS0000762,MEM000589,MT001,2024-10-29,2024-11-28,Expired,False
MS0000763,MEM000590,MT005,2022-04-29,2022-05-29,Expired,False
MS0000764,MEM000591,MT002,2024-08-14,2024-09-13,Cancelled,False
MS0000765,MEM000591,MT001,2024-10-24,2024-11-23,Expired,False
MS0000766,MEM000592,MT005,2023-06-25,2023-07-25,Expired,False
MS0000767,MEM000593,MT002,2023-04-29,2023-05-29,Expired,False
MS0000768,MEM000594,MT002,2020-12-30,2021-01-29,Expired,False
MS0000769,MEM000595,MT002,2022-01-29,2022-02-28,Expired,False
MS0000770,MEM000596,MT002,2023-09-18,2023-10-18,Expired,False
