enrollmentid,memberid,instanceid,enrollmentdate,enrollmentstatus,paymentamount,checkintime,checkouttime
EN00001140,MEM000483,CI0000112,2025-10-03 05:32:03.708961,Attended,0.0,2025-10-06 00:00:00.960049,2025-10-06 01:10:00.960049
EN00001141,MEM001799,CI0000112,2025-10-02 15:49:21.177710,Attended,0.0,2025-10-06 00:00:00.563802,2025-10-06 01:51:00.563802
EN00001142,MEM001358,CI0000112,2025-09-30 04:15:09.469128,Attended,0.0,2025-10-06 00:00:00.353372,2025-10-06 01:15:00.353372
EN00001143,MEM001475,CI0000112,2025-10-02 17:06:37.851065,Attended,0.0,2025-10-06 00:00:00.095995,2025-10-06 01:32:00.095995
EN00001144,MEM000538,CI0000112,2025-10-03 02:41:50.892678,Attended,0.0,2025-10-06 00:00:00.258133,2025-10-06 01:22:00.258133
EN00001145,MEM000739,CI0000112,2025-10-03 17:19:19.925435,Attended,0.0,2025-10-06 00:00:00.090826,2025-10-06 01:59:00.090826
EN00001146,MEM001953,CI0000112,2025-10-02 09:42:55.462737,Attended,0.0,2025-10-06 00:00:00.055899,2025-10-06 01:44:00.055899
EN00001147,MEM000817,CI0000112,2025-09-30 22:56:01.810220,Attended,0.0,2025-10-06 00:00:00.629263,2025-10-06 01:53:00.629263
EN00001148,MEM000108,CI0000112,2025-10-04 14:48:09.847849,Attended,0.0,2025-10-06 00:00:00.996637,2025-10-06 00:55:00.996637
EN00001149,MEM000119,CI0000112,2025-10-03 05:30:54.463341,No Show,0.0,,
EN00001150,MEM001055,CI0000112,2025-09-29 00:43:05.667219,No Show,0.0,,
EN00001151,MEM001147,CI0000113,2025-10-03 23:01:24.683038,Attended,0.0,2025-10-06 00:00:00.405669,2025-10-06 00:54:00.405669
EN00001152,MEM001031,CI0000113,2025-10-02 06:11:52.331945,Attended,0.0,2025-10-06 00:00:00.749001,2025-10-06 01:59:00.749001
EN00001153,MEM001189,CI0000113,2025-10-01 14:24:15.774899,Attended,0.0,2025-10-06 00:00:00.397085,2025-10-06 01:10:00.397085
EN00001154,MEM001012,CI0000113,2025-10-05 10:19:43.625503,Attended,0.0,2025-10-06 00:00:00.570507,2025-10-06 00:45:00.570507
EN00001155,MEM000548,CI0000113,2025-10-04 15:28:35.069773,Attended,0.0,2025-10-06 00:00:00.378822,2025-10-06 01:35:00.378822
EN00001156,MEM000650,CI0000113,2025-10-02 22:42:53.830736,Attended,0.0,2025-10-06 00:00:00.685726,2025-10-06 01:49:00.685726
EN00001157,MEM001586,CI0000113,2025-09-30 21:59:44.150275,Attended,0.0,2025-10-06 00:00:00.143061,2025-10-06 01:57:00.143061
EN00001158,MEM000434,CI0000113,2025-10-06 00:00:00.407641,Attended,0.0,2025-10-06 00:00:00.194021,2025-10-06 00:50:00.194021
EN00001159,MEM001030,CI0000113,2025-10-06 00:00:00.817727,Attended,0.0,2025-10-06 00:00:00.571435,2025-10-06 01:48:00.571435
EN00001160,MEM001099,CI0000113,2025-10-02 20:27:41.134258,Attended,0.0,2025-10-06 00:00:00.999343,2025-10-06 00:54:00.999343
EN00001161,MEM000615,CI0000113,2025-10-03 17:46:52.115060,Attended,0.0,2025-10-06 00:00:00.653651,2025-10-06 01:18:00.653651
EN00001162,MEM000115,CI0000113,2025-10-04 15:39:03.568100,Attended,0.0,2025-10-06 00:00:00.375260,2025-10-06 01:05:00.375260
EN00001163,MEM000032,CI0000113,2025-10-04 21:18:40.815153,No Show,0.0,,
EN00001164,MEM001032,CI0000113,2025-09-29 11:52:25.228972,No Show,0.0,,
EN00001165,MEM001459,CI0000114,2025-10-04 07:32:46.063249,Attended,0.0,2025-10-06 00:00:00.102334,2025-10-06 00:58:00.102334
EN00001166,MEM001282,CI0000114,2025-10-01 23:42:25.528595,Attended,0.0,2025-10-06 00:00:00.281046,2025-10-06 01:50:00.281046
EN00001167,MEM001664,CI0000114,2025-10-04 14:30:52.162905,Attended,0.0,2025-10-06 00:00:00.276245,2025-10-06 01:23:00.276245
EN00001168,MEM001654,CI0000114,2025-09-29 22:06:40.069498,Attended,0.0,2025-10-06 00:00:00.778730,2025-10-06 01:33:00.778730
EN00001169,MEM000257,CI0000114,2025-10-01 14:51:06.854090,Attended,0.0,2025-10-06 00:00:00.891707,2025-10-06 01:48:00.891707
EN00001170,MEM001207,CI0000114,2025-10-03 12:25:35.024581,Attended,0.0,2025-10-06 00:00:00.054876,2025-10-06 01:47:00.054876
EN00001171,MEM000652,CI0000114,2025-10-03 00:56:23.573579,Attended,0.0,2025-10-06 00:00:00.581916,2025-10-06 00:53:00.581916
EN00001172,MEM000475,CI0000114,2025-09-28 12:22:05.136362,Attended,0.0,2025-10-06 00:00:00.994114,2025-10-06 01:10:00.994114
EN00001173,MEM001250,CI0000114,2025-10-01 00:19:32.460032,Attended,0.0,2025-10-06 00:00:00.741661,2025-10-06 01:50:00.741661
EN00001174,MEM001663,CI0000114,2025-10-03 13:17:52.388172,Attended,0.0,2025-10-06 00:00:00.478058,2025-10-06 00:47:00.478058
EN00001175,MEM001718,CI0000114,2025-09-30 13:06:56.852313,Attended,0.0,2025-10-06 00:00:00.745293,2025-10-06 01:34:00.745293
EN00001176,MEM000620,CI0000114,2025-09-30 22:32:01.694963,No Show,0.0,,
EN00001177,MEM000174,CI0000114,2025-10-02 03:34:33.345142,No Show,0.0,,
EN00001178,MEM000273,CI0000115,2025-10-05 16:34:16.295438,Attended,0.0,2025-10-06 00:00:00.591498,2025-10-06 00:56:00.591498
EN00001179,MEM001681,CI0000115,2025-10-04 11:33:52.675866,Attended,0.0,2025-10-06 00:00:00.781186,2025-10-06 00:52:00.781186
EN00001180,MEM001590,CI0000115,2025-10-05 18:40:50.499935,Attended,0.0,2025-10-06 00:00:00.454605,2025-10-06 00:55:00.454605
EN00001181,MEM001303,CI0000115,2025-09-29 11:25:44.744021,Attended,0.0,2025-10-06 00:00:00.087885,2025-10-06 01:32:00.087885
EN00001182,MEM001383,CI0000115,2025-10-04 12:14:10.174582,Attended,0.0,2025-10-06 00:00:00.350370,2025-10-06 02:00:00.350370
EN00001183,MEM000853,CI0000115,2025-10-03 02:28:47.174217,Attended,0.0,2025-10-06 00:00:00.991636,2025-10-06 01:15:00.991636
EN00001184,MEM000682,CI0000115,2025-09-30 01:16:08.700575,Attended,0.0,2025-10-06 00:00:00.746651,2025-10-06 01:34:00.746651
EN00001185,MEM001975,CI0000115,2025-10-01 23:41:14.310241,Attended,0.0,2025-10-06 00:00:00.252908,2025-10-06 01:41:00.252908
EN00001186,MEM000514,CI0000115,2025-10-03 23:58:54.352877,Attended,0.0,2025-10-06 00:00:00.444696,2025-10-06 01:23:00.444696
EN00001187,MEM001850,CI0000115,2025-10-02 07:12:21.487723,Attended,0.0,2025-10-06 00:00:00.013557,2025-10-06 01:59:00.013557
EN00001188,MEM001124,CI0000115,2025-10-03 10:50:04.555856,Attended,0.0,2025-10-06 00:00:00.869460,2025-10-06 00:59:00.869460
EN00001189,MEM000996,CI0000115,2025-10-04 05:51:15.268198,Attended,0.0,2025-10-06 00:00:00.310094,2025-10-06 01:48:00.310094
EN00001190,MEM000662,CI0000115,2025-10-03 09:30:29.750984,Attended,0.0,2025-10-06 00:00:00.143611,2025-10-06 01:10:00.143611
EN00001191,MEM001454,CI0000115,2025-10-01 15:15:01.677020,Attended,0.0,2025-10-06 00:00:00.489456,2025-10-06 01:52:00.489456
EN00001192,MEM000147,CI0000115,2025-10-04 05:57:18.311601,Attended,0.0,2025-10-06 00:00:00.057059,2025-10-06 01:21:00.057059
EN00001193,MEM000054,CI0000115,2025-09-29 17:27:06.672855,Attended,0.0,2025-10-06 00:00:00.236772,2025-10-06 01:59:00.236772
EN00001194,MEM001936,CI0000115,2025-10-04 19:11:53.395386,Attended,0.0,2025-10-06 00:00:00.245285,2025-10-06 01:42:00.245285
EN00001195,MEM000366,CI0000115,2025-10-05 19:42:51.850053,Attended,0.0,2025-10-06 00:00:00.936718,2025-10-06 00:49:00.936718
EN00001196,MEM000076,CI0000115,2025-10-05 02:37:45.878733,Attended,0.0,2025-10-06 00:00:00.940928,2025-10-06 00:54:00.940928
EN00001197,MEM001007,CI0000116,2025-10-02 00:06:02.897134,Attended,0.0,2025-10-06 00:00:00.671794,2025-10-06 01:29:00.671794
EN00001198,MEM000494,CI0000116,2025-10-03 23:10:38.368668,Attended,0.0,2025-10-06 00:00:00.777237,2025-10-06 01:32:00.777237
EN00001199,MEM000379,CI0000116,2025-10-03 00:25:21.923039,Attended,0.0,2025-10-06 00:00:00.265359,2025-10-06 01:33:00.265359
EN00001200,MEM000665,CI0000116,2025-10-04 21:38:43.199645,Attended,0.0,2025-10-06 00:00:00.768549,2025-10-06 01:42:00.768549
EN00001201,MEM000537,CI0000116,2025-10-03 02:26:34.488688,Attended,0.0,2025-10-06 00:00:00.265090,2025-10-06 01:31:00.265090
EN00001202,MEM000200,CI0000116,2025-09-30 13:58:38.173957,Attended,0.0,2025-10-06 00:00:00.220686,2025-10-06 01:21:00.220686
EN00001203,MEM001698,CI0000116,2025-10-04 01:16:12.119550,Attended,0.0,2025-10-06 00:00:00.921910,2025-10-06 00:50:00.921910
EN00001204,MEM000773,CI0000116,2025-10-04 20:25:41.957943,Attended,0.0,2025-10-06 00:00:00.819777,2025-10-06 00:53:00.819777
EN00001205,MEM000195,CI0000116,2025-10-01 03:35:13.164298,Attended,0.0,2025-10-06 00:00:00.420701,2025-10-06 01:18:00.420701
EN00001206,MEM001488,CI0000116,2025-10-05 19:17:04.724012,Attended,0.0,2025-10-06 00:00:00.571568,2025-10-06 00:48:00.571568
EN00001207,MEM000679,CI0000116,2025-10-06 00:00:00.286704,Attended,0.0,2025-10-06 00:00:00.569675,2025-10-06 01:58:00.569675
EN00001208,MEM001770,CI0000116,2025-10-05 18:29:30.496809,Attended,0.0,2025-10-06 00:00:00.514787,2025-10-06 00:57:00.514787
EN00001209,MEM000430,CI0000116,2025-10-04 01:31:46.618857,Attended,0.0,2025-10-06 00:00:00.319223,2025-10-06 01:28:00.319223
EN00001210,MEM000573,CI0000116,2025-09-30 11:54:40.055505,Attended,0.0,2025-10-06 00:00:00.972002,2025-10-06 01:13:00.972002
EN00001211,MEM000359,CI0000116,2025-10-05 22:36:48.039159,Attended,0.0,2025-10-06 00:00:00.783417,2025-10-06 01:56:00.783417
EN00001212,MEM001256,CI0000116,2025-10-03 10:22:25.828470,Attended,0.0,2025-10-06 00:00:00.784048,2025-10-06 01:00:00.784048
EN00001213,MEM001067,CI0000116,2025-10-03 20:30:01.386790,Attended,0.0,2025-10-06 00:00:00.260803,2025-10-06 01:14:00.260803
EN00001214,MEM000194,CI0000116,2025-10-01 20:00:07.142640,Attended,0.0,2025-10-06 00:00:00.343325,2025-10-06 01:13:00.343325
EN00001215,MEM001611,CI0000116,2025-10-03 12:06:43.088229,No Show,0.0,,
EN00001216,MEM000724,CI0000117,2025-10-01 23:29:12.267637,Attended,0.0,2025-10-06 00:00:00.716559,2025-10-06 01:49:00.716559
EN00001217,MEM001685,CI0000117,2025-10-04 02:49:14.969131,Attended,0.0,2025-10-06 00:00:00.910769,2025-10-06 00:56:00.910769
EN00001218,MEM000527,CI0000117,2025-10-03 15:21:43.102146,Attended,0.0,2025-10-06 00:00:00.339768,2025-10-06 01:02:00.339768
EN00001219,MEM001922,CI0000117,2025-10-02 00:21:25.600414,Attended,0.0,2025-10-06 00:00:00.382343,2025-10-06 01:17:00.382343
EN00001220,MEM000472,CI0000117,2025-10-02 11:28:12.910337,Attended,0.0,2025-10-06 00:00:00.642075,2025-10-06 01:33:00.642075
EN00001221,MEM000871,CI0000117,2025-10-06 00:00:00.603065,Attended,0.0,2025-10-06 00:00:00.257371,2025-10-06 00:50:00.257371
EN00001222,MEM000859,CI0000117,2025-10-05 00:03:47.684412,Attended,0.0,2025-10-06 00:00:00.372015,2025-10-06 01:04:00.372015
EN00001223,MEM000876,CI0000117,2025-10-03 22:56:09.004920,Attended,0.0,2025-10-06 00:00:00.824837,2025-10-06 01:33:00.824837
EN00001224,MEM000179,CI0000117,2025-10-05 02:26:26.404884,Attended,0.0,2025-10-06 00:00:00.117270,2025-10-06 01:35:00.117270
EN00001225,MEM000328,CI0000117,2025-10-02 04:34:45.280860,Attended,0.0,2025-10-06 00:00:00.903726,2025-10-06 01:45:00.903726
EN00001226,MEM001458,CI0000117,2025-10-02 19:23:17.958157,Attended,0.0,2025-10-06 00:00:00.687947,2025-10-06 01:23:00.687947
EN00001227,MEM001427,CI0000117,2025-09-29 10:40:04.198605,Attended,0.0,2025-10-06 00:00:00.921822,2025-10-06 01:25:00.921822
EN00001228,MEM000359,CI0000117,2025-10-01 01:30:43.350225,Attended,0.0,2025-10-06 00:00:00.671936,2025-10-06 01:03:00.671936
EN00001229,MEM000846,CI0000117,2025-10-04 06:37:31.984142,Attended,0.0,2025-10-06 00:00:00.963699,2025-10-06 01:04:00.963699
EN00001230,MEM001452,CI0000118,2025-10-02 18:48:03.557226,Attended,0.0,2025-10-06 00:00:00.205483,2025-10-06 01:17:00.205483
EN00001231,MEM001328,CI0000118,2025-10-05 02:41:52.297066,Attended,0.0,2025-10-06 00:00:00.095481,2025-10-06 01:41:00.095481
EN00001232,MEM001352,CI0000118,2025-10-03 08:10:22.455599,Attended,0.0,2025-10-06 00:00:00.853311,2025-10-06 01:13:00.853311
EN00001233,MEM000877,CI0000118,2025-10-05 00:20:09.230342,Attended,0.0,2025-10-06 00:00:00.274330,2025-10-06 01:02:00.274330
EN00001234,MEM001557,CI0000118,2025-10-04 00:17:08.729772,Attended,0.0,2025-10-06 00:00:00.097671,2025-10-06 00:57:00.097671
EN00001235,MEM001568,CI0000118,2025-09-30 07:45:51.912329,Attended,0.0,2025-10-06 00:00:00.643377,2025-10-06 01:29:00.643377
EN00001236,MEM001302,CI0000118,2025-10-04 03:57:42.488984,Attended,0.0,2025-10-06 00:00:00.767152,2025-10-06 01:08:00.767152
EN00001237,MEM001998,CI0000118,2025-09-30 17:32:26.494538,Attended,0.0,2025-10-06 00:00:00.496045,2025-10-06 00:56:00.496045
EN00001238,MEM001641,CI0000118,2025-10-04 01:38:26.965778,Attended,0.0,2025-10-06 00:00:00.260693,2025-10-06 01:27:00.260693
EN00001239,MEM001379,CI0000119,2025-10-01 15:48:14.046442,Attended,0.0,2025-10-06 00:00:00.457808,2025-10-06 01:24:00.457808
EN00001240,MEM001212,CI0000119,2025-09-30 12:25:49.697692,Attended,0.0,2025-10-06 00:00:00.884228,2025-10-06 01:47:00.884228
EN00001241,MEM000113,CI0000119,2025-10-02 16:48:28.018322,Attended,0.0,2025-10-06 00:00:00.622042,2025-10-06 01:54:00.622042
EN00001242,MEM000719,CI0000119,2025-10-05 04:26:12.641378,Attended,0.0,2025-10-06 00:00:00.913627,2025-10-06 01:06:00.913627
EN00001243,MEM000352,CI0000119,2025-10-05 09:56:02.105976,Attended,0.0,2025-10-06 00:00:00.263434,2025-10-06 01:27:00.263434
EN00001244,MEM001190,CI0000119,2025-10-01 03:16:39.219754,Attended,0.0,2025-10-06 00:00:00.280369,2025-10-06 01:57:00.280369
EN00001245,MEM000117,CI0000119,2025-10-05 13:06:30.732578,Attended,0.0,2025-10-06 00:00:00.943438,2025-10-06 01:27:00.943438
EN00001246,MEM001508,CI0000119,2025-10-03 22:13:18.708013,Attended,0.0,2025-10-06 00:00:00.567824,2025-10-06 01:03:00.567824
EN00001247,MEM001199,CI0000119,2025-10-02 11:21:04.917795,No Show,0.0,,
EN00001248,MEM001389,CI0000120,2025-10-06 00:00:00.951550,Attended,0.0,2025-10-06 00:00:00.187030,2025-10-06 01:39:00.187030
EN00001249,MEM000011,CI0000120,2025-10-05 03:40:13.959851,Attended,0.0,2025-10-06 00:00:00.450168,2025-10-06 01:15:00.450168
EN00001250,MEM001863,CI0000120,2025-10-04 11:37:04.388049,Attended,0.0,2025-10-06 00:00:00.396812,2025-10-06 01:58:00.396812
EN00001251,MEM001477,CI0000120,2025-09-30 14:42:12.555711,Attended,0.0,2025-10-06 00:00:00.127367,2025-10-06 00:57:00.127367
EN00001252,MEM000650,CI0000120,2025-09-30 20:48:44.878403,Attended,0.0,2025-10-06 00:00:00.217117,2025-10-06 01:22:00.217117
EN00001253,MEM001297,CI0000120,2025-10-01 07:18:12.690440,Attended,0.0,2025-10-06 00:00:00.852335,2025-10-06 01:23:00.852335
EN00001254,MEM001152,CI0000120,2025-10-02 04:33:30.154396,Attended,0.0,2025-10-06 00:00:00.523118,2025-10-06 01:46:00.523118
EN00001255,MEM000276,CI0000120,2025-10-04 14:42:57.645213,Attended,0.0,2025-10-06 00:00:00.250185,2025-10-06 01:18:00.250185
EN00001256,MEM000931,CI0000120,2025-09-30 21:22:37.938337,Attended,0.0,2025-10-06 00:00:00.061057,2025-10-06 01:02:00.061057
EN00001257,MEM001492,CI0000120,2025-09-30 18:22:20.414210,Attended,0.0,2025-10-06 00:00:00.587229,2025-10-06 00:57:00.587229
EN00001258,MEM001701,CI0000120,2025-10-04 14:13:39.514777,Attended,0.0,2025-10-06 00:00:00.558982,2025-10-06 01:20:00.558982
EN00001259,MEM001606,CI0000120,2025-10-03 23:18:10.049418,Attended,0.0,2025-10-06 00:00:00.652446,2025-10-06 01:46:00.652446
EN00001260,MEM000601,CI0000121,2025-10-03 19:43:01.956986,Attended,0.0,2025-10-06 00:00:00.692675,2025-10-06 01:41:00.692675
EN00001261,MEM001497,CI0000121,2025-10-03 18:22:52.521665,Attended,0.0,2025-10-06 00:00:00.732222,2025-10-06 01:27:00.732222
EN00001262,MEM001436,CI0000121,2025-10-02 22:57:37.001409,Attended,0.0,2025-10-06 00:00:00.293754,2025-10-06 00:55:00.293754
EN00001263,MEM001703,CI0000121,2025-10-02 09:29:38.190997,Attended,0.0,2025-10-06 00:00:00.514744,2025-10-06 01:45:00.514744
EN00001264,MEM001402,CI0000121,2025-10-03 06:30:29.687350,Attended,0.0,2025-10-06 00:00:00.130889,2025-10-06 00:52:00.130889
EN00001265,MEM001568,CI0000121,2025-10-05 10:24:25.593123,Attended,0.0,2025-10-06 00:00:00.327155,2025-10-06 01:03:00.327155
EN00001266,MEM000502,CI0000121,2025-09-30 02:07:08.945709,Attended,0.0,2025-10-06 00:00:00.460237,2025-10-06 00:46:00.460237
EN00001267,MEM000436,CI0000121,2025-10-03 06:28:29.180711,Attended,0.0,2025-10-06 00:00:00.507162,2025-10-06 01:15:00.507162
EN00001268,MEM000043,CI0000121,2025-10-01 08:09:40.620445,No Show,0.0,,
EN00001269,MEM000717,CI0000122,2025-10-04 00:21:30.747414,Attended,0.0,2025-10-06 00:00:00.959963,2025-10-06 01:17:00.959963
EN00001270,MEM001913,CI0000122,2025-09-28 02:28:11.276387,Attended,0.0,2025-10-06 00:00:00.708760,2025-10-06 01:56:00.708760
EN00001271,MEM001510,CI0000122,2025-10-04 21:26:05.691650,Attended,0.0,2025-10-06 00:00:00.308418,2025-10-06 00:59:00.308418
EN00001272,MEM000925,CI0000122,2025-10-04 06:47:27.910646,Attended,0.0,2025-10-06 00:00:00.597728,2025-10-06 01:37:00.597728
EN00001273,MEM000679,CI0000122,2025-10-04 12:24:54.089270,Attended,0.0,2025-10-06 00:00:00.614896,2025-10-06 01:13:00.614896
EN00001274,MEM000430,CI0000122,2025-10-03 08:17:39.916821,Attended,0.0,2025-10-06 00:00:00.921542,2025-10-06 01:15:00.921542
EN00001275,MEM000773,CI0000122,2025-10-04 15:54:12.452636,Attended,0.0,2025-10-06 00:00:00.570732,2025-10-06 01:33:00.570732
EN00001276,MEM001299,CI0000122,2025-10-01 23:33:37.464122,Attended,0.0,2025-10-06 00:00:00.816070,2025-10-06 00:49:00.816070
EN00001277,MEM001130,CI0000122,2025-10-01 18:50:21.329127,Attended,0.0,2025-10-06 00:00:00.700351,2025-10-06 01:51:00.700351
EN00001278,MEM001069,CI0000122,2025-10-02 04:17:24.321206,Attended,0.0,2025-10-06 00:00:00.239257,2025-10-06 01:48:00.239257
EN00001279,MEM000621,CI0000122,2025-10-04 07:02:21.450868,Attended,0.0,2025-10-06 00:00:00.618372,2025-10-06 01:57:00.618372
EN00001280,MEM000236,CI0000122,2025-10-01 12:56:31.743912,Attended,0.0,2025-10-06 00:00:00.749043,2025-10-06 00:55:00.749043
EN00001281,MEM000326,CI0000122,2025-10-04 14:03:52.984494,No Show,0.0,,
EN00001282,MEM001629,CI0000123,2025-10-01 09:32:52.834089,Attended,0.0,2025-10-06 00:00:00.493433,2025-10-06 01:10:00.493433
EN00001283,MEM000393,CI0000123,2025-10-03 23:27:54.468116,Attended,0.0,2025-10-06 00:00:00.373909,2025-10-06 01:33:00.373909
EN00001284,MEM001939,CI0000123,2025-10-05 11:55:15.395929,Attended,0.0,2025-10-06 00:00:00.640269,2025-10-06 01:25:00.640269
EN00001285,MEM001630,CI0000123,2025-10-04 10:19:39.205433,Attended,0.0,2025-10-06 00:00:00.534590,2025-10-06 01:32:00.534590
EN00001286,MEM000682,CI0000123,2025-10-02 08:58:55.474070,Attended,0.0,2025-10-06 00:00:00.806654,2025-10-06 01:26:00.806654
EN00001287,MEM000078,CI0000123,2025-10-04 05:06:52.927770,Attended,0.0,2025-10-06 00:00:00.072383,2025-10-06 01:27:00.072383
EN00001288,MEM000702,CI0000123,2025-09-30 18:37:48.582144,Attended,0.0,2025-10-06 00:00:00.840398,2025-10-06 01:58:00.840398
EN00001289,MEM000407,CI0000123,2025-10-06 00:00:00.734251,No Show,0.0,,
EN00001290,MEM001264,CI0000124,2025-10-01 05:40:53.321834,Attended,0.0,2025-10-06 00:00:00.921256,2025-10-06 01:55:00.921256
EN00001291,MEM001492,CI0000124,2025-10-03 20:09:22.546830,Attended,0.0,2025-10-06 00:00:00.593884,2025-10-06 01:08:00.593884
EN00001292,MEM000536,CI0000124,2025-10-03 10:47:08.747284,Attended,0.0,2025-10-06 00:00:00.342989,2025-10-06 01:48:00.342989
EN00001293,MEM000934,CI0000124,2025-10-06 00:00:00.163219,Attended,0.0,2025-10-06 00:00:00.585916,2025-10-06 01:57:00.585916
EN00001294,MEM001947,CI0000124,2025-10-01 11:50:32.391572,Attended,0.0,2025-10-06 00:00:00.768552,2025-10-06 01:17:00.768552
EN00001295,MEM000784,CI0000124,2025-10-03 00:42:26.838959,Attended,0.0,2025-10-06 00:00:00.002173,2025-10-06 01:56:00.002173
EN00001296,MEM000939,CI0000124,2025-10-03 14:13:32.258502,Attended,0.0,2025-10-06 00:00:00.226960,2025-10-06 01:27:00.226960
EN00001297,MEM001023,CI0000124,2025-10-04 12:22:31.323147,Attended,0.0,2025-10-06 00:00:00.923959,2025-10-06 01:17:00.923959
EN00001298,MEM000455,CI0000125,2025-10-03 06:15:15.771416,Attended,0.0,2025-10-07 00:00:00.649117,2025-10-07 01:21:00.649117
EN00001299,MEM000316,CI0000125,2025-10-07 00:00:00.643893,Attended,0.0,2025-10-07 00:00:00.488390,2025-10-07 01:34:00.488390
EN00001300,MEM000104,CI0000125,2025-10-05 12:50:50.995213,Attended,0.0,2025-10-07 00:00:00.523140,2025-10-07 01:32:00.523140
EN00001301,MEM000510,CI0000125,2025-10-03 07:09:03.496164,Attended,0.0,2025-10-07 00:00:00.458881,2025-10-07 01:16:00.458881
EN00001302,MEM001026,CI0000125,2025-10-03 12:32:38.934459,Attended,0.0,2025-10-07 00:00:00.010718,2025-10-07 01:34:00.010718
EN00001303,MEM000397,CI0000125,2025-10-02 21:29:02.896308,Attended,0.0,2025-10-07 00:00:00.263643,2025-10-07 01:41:00.263643
EN00001304,MEM000117,CI0000125,2025-09-29 05:28:34.295093,Attended,0.0,2025-10-07 00:00:00.191590,2025-10-07 01:15:00.191590
EN00001305,MEM000198,CI0000126,2025-10-06 22:37:07.078586,Attended,0.0,2025-10-07 00:00:00.574550,2025-10-07 00:52:00.574550
EN00001306,MEM000188,CI0000126,2025-09-29 23:01:02.634557,Attended,0.0,2025-10-07 00:00:00.833314,2025-10-07 01:20:00.833314
EN00001307,MEM000834,CI0000126,2025-10-05 19:15:33.304546,Attended,0.0,2025-10-07 00:00:00.509628,2025-10-07 01:13:00.509628
EN00001308,MEM000601,CI0000126,2025-09-30 09:31:02.267716,Attended,0.0,2025-10-07 00:00:00.881989,2025-10-07 01:06:00.881989
EN00001309,MEM001811,CI0000126,2025-10-05 23:12:35.171152,Attended,0.0,2025-10-07 00:00:00.950363,2025-10-07 01:53:00.950363
EN00001310,MEM000889,CI0000126,2025-10-05 01:45:05.095513,Attended,0.0,2025-10-07 00:00:00.540153,2025-10-07 01:25:00.540153
EN00001311,MEM001845,CI0000126,2025-10-04 18:21:47.126791,Attended,0.0,2025-10-07 00:00:00.703045,2025-10-07 01:20:00.703045
EN00001312,MEM001043,CI0000126,2025-10-05 01:50:55.859264,Attended,0.0,2025-10-07 00:00:00.060855,2025-10-07 00:50:00.060855
EN00001313,MEM000946,CI0000126,2025-10-02 23:57:57.457884,No Show,0.0,,
EN00001314,MEM000839,CI0000127,2025-10-03 05:37:22.585437,Attended,0.0,2025-10-07 00:00:00.083225,2025-10-07 01:17:00.083225
EN00001315,MEM001405,CI0000127,2025-10-06 10:48:34.834405,Attended,0.0,2025-10-07 00:00:00.750774,2025-10-07 01:15:00.750774
EN00001316,MEM001455,CI0000127,2025-10-06 14:49:37.634811,Attended,0.0,2025-10-07 00:00:00.952539,2025-10-07 01:11:00.952539
EN00001317,MEM001554,CI0000127,2025-10-07 00:00:00.016632,Attended,0.0,2025-10-07 00:00:00.585343,2025-10-07 01:17:00.585343
EN00001318,MEM001604,CI0000127,2025-09-28 04:43:42.449556,Attended,0.0,2025-10-07 00:00:00.029853,2025-10-07 01:13:00.029853
EN00001319,MEM000457,CI0000127,2025-10-02 17:59:04.030622,Attended,0.0,2025-10-07 00:00:00.456189,2025-10-07 00:53:00.456189
EN00001320,MEM001302,CI0000127,2025-10-06 11:36:25.525902,Attended,0.0,2025-10-07 00:00:00.025356,2025-10-07 01:28:00.025356
EN00001321,MEM001843,CI0000127,2025-10-03 04:57:43.149906,Attended,0.0,2025-10-07 00:00:00.660121,2025-10-07 01:16:00.660121
EN00001322,MEM000264,CI0000127,2025-10-04 20:07:21.296457,Attended,0.0,2025-10-07 00:00:00.664701,2025-10-07 01:07:00.664701
EN00001323,MEM001393,CI0000127,2025-10-05 18:12:05.562093,Attended,0.0,2025-10-07 00:00:00.151175,2025-10-07 01:00:00.151175
EN00001324,MEM000833,CI0000127,2025-10-03 18:49:38.660731,Attended,0.0,2025-10-07 00:00:00.861045,2025-10-07 01:26:00.861045
EN00001325,MEM001998,CI0000127,2025-10-04 08:13:10.860182,Attended,0.0,2025-10-07 00:00:00.685302,2025-10-07 00:54:00.685302
EN00001326,MEM000552,CI0000127,2025-10-03 20:09:50.221887,Attended,0.0,2025-10-07 00:00:00.863339,2025-10-07 01:12:00.863339
EN00001327,MEM000838,CI0000127,2025-10-01 05:32:58.314487,No Show,0.0,,
EN00001328,MEM001729,CI0000128,2025-10-06 17:25:24.040232,Attended,0.0,2025-10-07 00:00:00.442298,2025-10-07 01:59:00.442298
EN00001329,MEM000559,CI0000128,2025-09-30 14:39:45.794237,Attended,0.0,2025-10-07 00:00:00.252061,2025-10-07 01:00:00.252061
EN00001330,MEM000700,CI0000128,2025-10-06 20:46:46.093028,Attended,0.0,2025-10-07 00:00:00.956875,2025-10-07 01:16:00.956875
EN00001331,MEM001160,CI0000128,2025-10-07 00:00:00.879406,Attended,0.0,2025-10-07 00:00:00.987870,2025-10-07 01:40:00.987870
EN00001332,MEM000127,CI0000128,2025-10-04 06:47:54.191893,Attended,0.0,2025-10-07 00:00:00.821254,2025-10-07 01:51:00.821254
